GeographyCode,WP101EW0001
K04000001,26414207
E92000001,25087843
W92000004,1326364
E12000001,1124017
E12000002,3224701
E12000003,2417774
E12000004,2057346
E12000005,2515748
E12000006,2650835
E12000007,4500481
E12000008,4063350
E12000009,2533591
E06000001,34197
E06000002,62839
E06000003,45844
E06000004,86322
E06000005,52096
E06000006,57420
E06000007,114983
E06000008,64522
E06000009,63189
E06000010,124406
E06000011,133512
E06000012,71067
E06000013,76797
E06000014,102927
E06000015,123890
E06000016,163224
E06000017,18293
E06000018,174216
E06000019,87169
E06000020,83177
E06000021,114156
E06000022,89861
E06000023,236098
E06000024,83584
E06000025,141998
E06000026,121963
E06000027,52544
E06000028,81141
E06000029,78847
E06000030,108642
E06000031,101167
E06000032,89954
E06000033,72074
E06000034,64202
E06000035,98648
E06000036,59267
E06000037,87006
E06000038,89115
E06000039,74593
E06000040,76112
E06000041,69107
E06000042,143998
E06000043,134345
E06000044,109456
E06000045,112852
E06000046,56591
E06000047,196872
E06000048,123686
E06000049,182026
E06000050,158249
E06000051,145002
E06000052,235859
E06000053,1299
E06000054,222448
E06000055,74527
E06000056,98170
E07000004,75310
E07000005,35476
E07000006,33210
E07000007,80986
E07000008,94190
E07000009,31112
E07000010,38156
E07000011,77355
E07000012,74393
E07000026,40513
E07000027,31302
E07000028,56652
E07000029,34640
E07000030,28783
E07000031,52022
E07000032,55025
E07000033,29342
E07000034,51786
E07000035,36196
E07000036,42970
E07000037,35791
E07000038,31416
E07000039,33980
E07000040,53997
E07000041,83220
E07000042,30331
E07000043,47704
E07000044,43382
E07000045,50050
E07000046,24610
E07000047,21560
E07000048,20702
E07000049,33977
E07000050,30265
E07000051,20220
E07000052,52101
E07000053,21283
E07000061,43881
E07000062,36828
E07000063,40055
E07000064,32090
E07000065,55601
E07000066,82802
E07000067,57625
E07000068,33868
E07000069,25388
E07000070,82621
E07000071,83688
E07000072,47610
E07000073,39814
E07000074,23037
E07000075,26660
E07000076,44323
E07000077,40286
E07000078,63483
E07000079,43391
E07000080,30458
E07000081,63844
E07000082,50092
E07000083,46180
E07000084,84821
E07000085,48214
E07000086,64219
E07000087,51004
E07000088,26652
E07000089,40079
E07000090,46667
E07000091,75620
E07000092,49880
E07000093,57602
E07000094,75566
E07000095,38867
E07000096,66247
E07000097,58180
E07000098,46377
E07000099,52441
E07000100,61531
E07000101,44839
E07000102,35393
E07000103,51469
E07000104,68426
E07000105,54618
E07000106,66713
E07000107,54972
E07000108,43282
E07000109,32015
E07000110,76795
E07000111,46402
E07000112,44250
E07000113,52439
E07000114,47538
E07000115,60126
E07000116,54985
E07000117,37472
E07000118,41674
E07000119,42934
E07000120,31172
E07000121,58893
E07000122,34602
E07000123,87088
E07000124,29815
E07000125,24266
E07000126,49069
E07000127,49510
E07000128,37730
E07000129,51967
E07000130,67856
E07000131,42180
E07000132,42514
E07000133,22107
E07000134,53711
E07000135,21125
E07000136,31094
E07000137,51693
E07000138,55050
E07000139,45839
E07000140,38861
E07000141,57223
E07000142,31075
E07000143,50487
E07000144,47264
E07000145,39960
E07000146,63513
E07000147,39632
E07000148,89224
E07000149,54367
E07000150,30883
E07000151,38650
E07000152,31128
E07000153,42290
E07000154,118778
E07000155,34323
E07000156,34351
E07000163,27277
E07000164,48641
E07000165,82129
E07000166,27802
E07000167,25988
E07000168,46119
E07000169,35476
E07000170,53093
E07000171,51829
E07000172,38833
E07000173,36897
E07000174,40987
E07000175,50938
E07000176,45942
E07000177,71803
E07000178,99423
E07000179,61683
E07000180,62253
E07000181,48222
E07000187,49267
E07000188,46639
E07000189,77724
E07000190,59898
E07000191,14929
E07000192,38814
E07000193,59222
E07000194,44755
E07000195,49280
E07000196,36453
E07000197,67178
E07000198,34851
E07000199,30315
E07000200,35722
E07000201,32904
E07000202,71601
E07000203,41665
E07000204,58400
E07000205,54351
E07000206,44953
E07000207,56375
E07000208,30223
