GeographyCode,WP102EW0001,WP102EW0002,WP102EW0003
K04000001,26414207,15101524.69,1.749108619
E92000001,25087843,13027982.89,1.925688974
W92000004,1326364,2073541.8,0.639661086
E12000001,1124017,857377.59,1.310994144
E12000002,3224701,1410536.18,2.286152632
E12000003,2417774,1540765.14,1.569203467
E12000004,2057346,1560679.97,1.318236948
E12000005,2515748,1299833.3,1.935438952
E12000006,2650835,1910847.55,1.387256142
E12000007,4500481,157216.48,28.626013
E12000008,4063350,1906972.27,2.130786097
E12000009,2533591,2383754.41,1.062857394
E06000001,34197,9386.17,3.643339083
E06000002,62839,5387.57,11.66369996
E06000003,45844,24489.54,1.871982896
E06000004,86322,20393.06,4.232910608
E06000005,52096,19747.56,2.638098074
E06000006,57420,7909.47,7.259652037
E06000007,114983,18065.4,6.364818936
E06000008,64522,13701.25,4.709205364
E06000009,63189,3488.15,18.11533334
E06000010,124406,7144.96,17.41171399
E06000011,133512,240768.1,0.554525288
E06000012,71067,19184.39,3.704418019
E06000013,76797,84631.31,0.907430122
E06000014,102927,27193.64,3.784965896
E06000015,123890,7803.13,15.87696219
E06000016,163224,7331.38,22.26374843
E06000017,18293,38182.79,0.479090187
E06000018,174216,7461.26,23.34940747
E06000019,87169,217973.33,0.399906723
E06000020,83177,29031.38,2.865072208
E06000021,114156,9344.88,12.2158872
E06000022,89861,34587.76,2.59805781
E06000023,236098,10960.99,21.53984266
E06000024,83584,37378.89,2.236128467
E06000025,141998,49694.45,2.857421704
E06000026,121963,7983.22,15.27741939
E06000027,52544,6288.13,8.356061341
E06000028,81141,4617.86,17.57112602
E06000029,78847,6475.31,12.17655989
E06000030,108642,23010.31,4.721448777
E06000031,101167,34337.84,2.946224923
E06000032,89954,4335.27,20.74934202
E06000033,72074,4175.54,17.26100097
E06000034,64202,16337.54,3.92972259
E06000035,98648,19203.2,5.13706049
E06000036,59267,10938.48,5.418211671
E06000037,87006,70416.89,1.235584247
E06000038,89115,4039.86,22.05893274
E06000039,74593,3253.61,22.92622656
E06000040,76112,19650.83,3.873220622
E06000041,69107,17897.9,3.861179244
E06000042,143998,30862.67,4.665766118
E06000043,134345,8266.8,16.25114918
E06000044,109456,4041.16,27.08529234
E06000045,112852,4988.92,22.62052709
E06000046,56591,38016.18,1.488603011
E06000047,196872,222600.34,0.884419134
E06000048,123686,501368.17,0.246696953
E06000049,182026,116637.55,1.560612341
E06000050,158249,91665.64,1.726372063
E06000051,145002,319730.33,0.453513434
E06000052,235859,354620.12,0.665103266
E06000053,1299,1637.47,0.793296976
E06000054,222448,325534.24,0.683332113
E06000055,74527,47641.19,1.564339598
E06000056,98170,71566.52,1.371730804
E07000004,75310,90275.43,0.834224772
E07000005,35476,19634.85,1.806787421
E07000006,33210,14127.55,2.350726064
E07000007,80986,32457.28,2.495156711
E07000008,94190,4069.91,23.1430179
E07000009,31112,65128.12,0.477704561
E07000010,38156,54644.97,0.698252739
E07000011,77355,90618.85,0.853630343
E07000012,74393,90162.72,0.825097113
E07000026,40513,124163.5,0.326287516
E07000027,31302,7796.07,4.015099916
E07000028,56652,103929.84,0.545098501
E07000029,34640,73173.63,0.473394582
E07000030,28783,214235.25,0.134352307
E07000031,52022,153356.9,0.339221776
E07000032,55025,26538.45,2.073406699
E07000033,29342,16033.03,1.830096994
E07000034,51786,6603.51,7.842193016
E07000035,36196,79246.15,0.456754051
E07000036,42970,10962.97,3.919558295
E07000037,35791,53913.48,0.663859947
E07000038,31416,27559.97,1.139914158
E07000039,33980,33812.13,1.004964786
E07000040,53997,81434.71,0.663071066
E07000041,83220,4702.85,17.69565264
E07000042,30331,91293.52,0.332236067
E07000043,47704,108605.11,0.439242684
E07000044,43382,88649.78,0.489363877
E07000045,50050,67386.99,0.742724968
E07000046,24610,98385.51,0.25013846
E07000047,21560,115964.9,0.185918325
E07000048,20702,5038.95,4.108395598
E07000049,33977,35436.6,0.958810947
E07000050,30265,60921.76,0.496784728
E07000051,20220,40441.6,0.499980218
E07000052,52101,108147.45,0.481758932
E07000053,21283,4175.85,5.096686902
E07000061,43881,4415.9,9.937045676
E07000062,36828,2972.39,12.39002957
E07000063,40055,29207.06,1.371414993
E07000064,32090,50943.26,0.629916499
E07000065,55601,83317.42,0.667339435
E07000066,82802,11002.48,7.525757829
E07000067,57625,61170.86,0.942033511
E07000068,33868,15311.78,2.211891759
E07000069,25388,4506.83,5.63322779
E07000070,82621,33877.76,2.438797606
