ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP1101EW0001,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_UOuAXyx4, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0002,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_UOuAXyx4, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0003,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_UOuAXyx4, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0004,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_016, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0005,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_016, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0006,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_016, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0007,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_017, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0008,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_017, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0009,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_017, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0010,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_018, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0011,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_018, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0012,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_018, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0013,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_019, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0014,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_019, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0015,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_019, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0016,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_020, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
WP1101EW0017,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_020, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
WP1101EW0018,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_020, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
WP1101EW0019,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T060A|C_AGE_021, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
