ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP1101EW0001,Count,Person,"All categories: Age 16 to 74, All categories: Sex"
WP1101EW0002,Count,Person,"All categories: Age 16 to 74, Males"
WP1101EW0003,Count,Person,"All categories: Age 16 to 74, Females"
WP1101EW0004,Count,Person,"Age 16, All categories: Sex"
WP1101EW0005,Count,Person,"Age 16, Males"
WP1101EW0006,Count,Person,"Age 16, Females"
WP1101EW0007,Count,Person,"Age 17, All categories: Sex"
WP1101EW0008,Count,Person,"Age 17, Males"
WP1101EW0009,Count,Person,"Age 17, Females"
WP1101EW0010,Count,Person,"Age 18, All categories: Sex"
WP1101EW0011,Count,Person,"Age 18, Males"
WP1101EW0012,Count,Person,"Age 18, Females"
WP1101EW0013,Count,Person,"Age 19, All categories: Sex"
WP1101EW0014,Count,Person,"Age 19, Males"
WP1101EW0015,Count,Person,"Age 19, Females"
WP1101EW0016,Count,Person,"Age 20, All categories: Sex"
WP1101EW0017,Count,Person,"Age 20, Males"
WP1101EW0018,Count,Person,"Age 20, Females"
WP1101EW0019,Count,Person,"Age 21, All categories: Sex"
WP1101EW0020,Count,Person,"Age 21, Males"
WP1101EW0021,Count,Person,"Age 21, Females"
WP1101EW0022,Count,Person,"Age 22, All categories: Sex"
WP1101EW0023,Count,Person,"Age 22, Males"
WP1101EW0024,Count,Person,"Age 22, Females"
WP1101EW0025,Count,Person,"Age 23, All categories: Sex"
WP1101EW0026,Count,Person,"Age 23, Males"
WP1101EW0027,Count,Person,"Age 23, Females"
WP1101EW0028,Count,Person,"Age 24, All categories: Sex"
WP1101EW0029,Count,Person,"Age 24, Males"
WP1101EW0030,Count,Person,"Age 24, Females"
WP1101EW0031,Count,Person,"Age 25, All categories: Sex"
WP1101EW0032,Count,Person,"Age 25, Males"
WP1101EW0033,Count,Person,"Age 25, Females"
WP1101EW0034,Count,Person,"Age 26, All categories: Sex"
WP1101EW0035,Count,Person,"Age 26, Males"
WP1101EW0036,Count,Person,"Age 26, Females"
WP1101EW0037,Count,Person,"Age 27, All categories: Sex"
WP1101EW0038,Count,Person,"Age 27, Males"
WP1101EW0039,Count,Person,"Age 27, Females"
WP1101EW0040,Count,Person,"Age 28, All categories: Sex"
WP1101EW0041,Count,Person,"Age 28, Males"
WP1101EW0042,Count,Person,"Age 28, Females"
WP1101EW0043,Count,Person,"Age 29, All categories: Sex"
WP1101EW0044,Count,Person,"Age 29, Males"
