ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP1101EW0001,Count,Person,"Pob categori: 16 i 74 oed, Pob categori: Rhyw"
WP1101EW0002,Count,Person,"Pob categori: 16 i 74 oed, Gwrywod"
WP1101EW0003,Count,Person,"Pob categori: 16 i 74 oed, Benywod"
WP1101EW0004,Count,Person,"16 oed, Pob categori: Rhyw"
WP1101EW0005,Count,Person,"16 oed, Gwrywod"
WP1101EW0006,Count,Person,"16 oed, Benywod"
WP1101EW0007,Count,Person,"17 oed, Pob categori: Rhyw"
WP1101EW0008,Count,Person,"17 oed, Gwrywod"
WP1101EW0009,Count,Person,"17 oed, Benywod"
WP1101EW0010,Count,Person,"18 oed, Pob categori: Rhyw"
WP1101EW0011,Count,Person,"18 oed, Gwrywod"
WP1101EW0012,Count,Person,"18 oed, Benywod"
WP1101EW0013,Count,Person,"19 oed, Pob categori: Rhyw"
WP1101EW0014,Count,Person,"19 oed, Gwrywod"
WP1101EW0015,Count,Person,"19 oed, Benywod"
WP1101EW0016,Count,Person,"20 oed, Pob categori: Rhyw"
WP1101EW0017,Count,Person,"20 oed, Gwrywod"
WP1101EW0018,Count,Person,"20 oed, Benywod"
WP1101EW0019,Count,Person,"21 oed, Pob categori: Rhyw"
WP1101EW0020,Count,Person,"21 oed, Gwrywod"
WP1101EW0021,Count,Person,"21 oed, Benywod"
WP1101EW0022,Count,Person,"22 oed, Pob categori: Rhyw"
WP1101EW0023,Count,Person,"22 oed, Gwrywod"
WP1101EW0024,Count,Person,"22 oed, Benywod"
WP1101EW0025,Count,Person,"23 oed, Pob categori: Rhyw"
WP1101EW0026,Count,Person,"23 oed, Gwrywod"
WP1101EW0027,Count,Person,"23 oed, Benywod"
WP1101EW0028,Count,Person,"24 oed, Pob categori: Rhyw"
WP1101EW0029,Count,Person,"24 oed, Gwrywod"
WP1101EW0030,Count,Person,"24 oed, Benywod"
WP1101EW0031,Count,Person,"25 oed, Pob categori: Rhyw"
WP1101EW0032,Count,Person,"25 oed, Gwrywod"
WP1101EW0033,Count,Person,"25 oed, Benywod"
WP1101EW0034,Count,Person,"26 oed, Pob categori: Rhyw"
WP1101EW0035,Count,Person,"26 oed, Gwrywod"
WP1101EW0036,Count,Person,"26 oed, Benywod"
WP1101EW0037,Count,Person,"27 oed, Pob categori: Rhyw"
WP1101EW0038,Count,Person,"27 oed, Gwrywod"
WP1101EW0039,Count,Person,"27 oed, Benywod"
WP1101EW0040,Count,Person,"28 oed, Pob categori: Rhyw"
WP1101EW0041,Count,Person,"28 oed, Gwrywod"
WP1101EW0042,Count,Person,"28 oed, Benywod"
WP1101EW0043,Count,Person,"29 oed, Pob categori: Rhyw"
WP1101EW0044,Count,Person,"29 oed, Gwrywod"
WP1101EW0045,Count,Person,"29 oed, Benywod"
