GeographyCode,WP201EW0001,WP201EW0002,WP201EW0003,WP201EW0004,WP201EW0005,WP201EW0006,WP201EW0007,WP201EW0008,WP201EW0009,WP201EW0010,WP201EW0011,WP201EW0012,WP201EW0013,WP201EW0014,WP201EW0015,WP201EW0016,WP201EW0017,WP201EW0018,WP201EW0019
K04000001,26414207,21511481,260096,14560,1502980,127675,48507,105728,101446,726600,350411,133773,170510,383521,391660,278039,93508,66041,147671
E92000001,25087843,20275048,253718,14019,1471003,124031,47206,102974,99119,717552,346145,130308,165279,376057,387205,276143,92699,63987,145350
W92000004,1326364,1236433,6378,541,31977,3644,1301,2754,2327,9048,4266,3465,5231,7464,4455,1896,809,2054,2321
E12000001,1124017,1057622,3899,482,18276,1974,957,2261,1521,8235,6617,3158,4865,5744,3922,733,329,1267,2155
E12000002,3224701,2862117,28316,1083,88416,12556,5394,8788,7429,48689,57521,12060,19278,19547,22264,11546,5274,6076,8347
E12000003,2417774,2132760,12084,1019,74899,9921,2547,7066,4982,32842,62889,5668,9772,16218,17509,11389,4105,4207,7897
E12000004,2057346,1760512,12625,950,89080,11455,2373,6233,5012,78926,16732,4520,8407,16436,16780,14015,3821,2232,7237
E12000005,2515748,2071697,22432,1092,80857,18341,2391,8111,5764,104624,59405,12797,11265,29845,21582,38388,10100,3941,13116
E12000006,2650835,2249564,24873,1926,149883,10687,4027,9240,9069,48125,21028,11306,14246,30286,30653,16606,5981,3685,9650
E12000007,4500481,2386889,100122,2145,646414,36353,20506,37297,44710,293029,82760,65073,64594,180140,222074,155351,53180,33693,76151
E12000008,4063350,3437110,35653,3699,226870,14587,6359,16875,14416,83696,34424,12005,23620,62570,41989,20119,6644,6778,15936
E12000009,2533591,2316777,13714,1623,96308,8157,2652,7103,6216,19386,4769,3721,9232,15271,10432,7996,3265,2108,4861
E06000001,34197,32875,82,12,364,51,9,37,40,133,131,58,117,152,60,15,4,24,33
E06000002,62839,57420,241,23,931,156,90,172,100,677,1640,77,272,351,337,44,27,141,140
E06000003,45844,44129,144,17,489,80,21,71,50,120,249,37,93,153,71,15,4,38,63
E06000004,86322,81461,264,55,1007,138,63,170,94,598,1051,72,253,500,270,55,28,105,138
E06000005,52096,49106,180,94,901,133,29,93,81,428,150,134,185,227,146,60,24,56,69
E06000006,57420,54349,373,8,1054,136,71,108,116,299,116,55,205,173,127,82,31,43,74
E06000007,114983,106283,793,42,3103,275,130,225,201,1022,558,197,510,605,430,233,79,114,183
E06000008,64522,50410,351,22,1531,123,51,226,123,5564,4209,292,345,528,170,124,33,158,262
E06000009,63189,58640,381,46,1670,233,49,117,106,578,206,89,273,383,124,76,26,93,99
E06000010,124406,114378,323,45,4614,245,185,294,246,785,366,199,508,578,846,122,95,241,336
