GeographyCode,WP206WA0001,WP206WA0002,WP206WA0003,WP206WA0004,WP206WA0005,WP206WA0006,WP206WA0007,WP206WA0008
W92000004,1326364,964133,281202,217606,216314,180152,243528,44205
W06000001,24405,6576,16035,14037,12856,11619,14408,435
W06000002,57626,13216,40457,38058,36016,33543,38844,661
W06000003,45201,25716,17276,12714,12081,10232,13825,587
W06000004,41357,25214,13484,9895,9490,7924,10850,1220
W06000005,72020,46314,9582,6517,6613,5103,7757,14672
W06000006,60837,43375,9004,5659,5970,4498,6937,7080
W06000008,32426,12125,18391,16078,15260,13588,16764,190
W06000009,52951,38666,12014,8827,8390,6750,9856,762
W06000010,73870,32900,36712,29339,27104,23191,31196,355
W06000011,110469,87791,18540,11932,12521,9486,14376,1417
W06000012,51434,40657,9026,6019,6273,4710,7304,275
W06000013,60466,51265,7154,4666,5646,3978,6248,459
W06000014,45574,38774,5131,3627,3981,3077,4431,786
W06000015,199702,166874,24948,18699,20392,16073,22431,3770
W06000016,82073,68009,11154,7962,9106,6973,10006,735
W06000018,58647,50587,6055,4555,4919,3865,5455,893
W06000019,22021,19850,1451,1078,1105,872,1315,350
W06000020,38863,34867,2758,2197,2231,1804,2608,596
W06000021,38064,31788,2406,1778,1857,1445,2180,3340
W06000022,73360,65711,4543,3491,3653,2857,4273,1958
W06000023,60142,42472,12333,8607,8682,6925,10051,3516
W06000024,24856,21386,2748,1871,2168,1639,2413,148
W02000001,3011,703,2094,1939,1776,1631,1973,31
W02000002,1278,387,821,745,698,640,766,9
W02000003,3776,1202,2316,1656,1439,1212,1739,86
W02000004,2067,668,1260,998,897,786,1036,18
W02000005,2185,727,1321,1099,1004,870,1142,23
W02000006,4635,645,3669,3484,3262,3015,3532,31
W02000007,2769,1073,1399,1273,1163,1064,1306,167
W02000008,2112,559,1397,1239,1145,1036,1274,37
W02000009,2572,612,1758,1604,1472,1365,1640,33
W02000010,6359,2222,3770,3204,3020,2705,3340,75
W02000011,6479,1660,4378,3783,3527,3126,3912,83
W02000012,2952,649,2078,1911,1775,1626,1957,33
W02000013,1728,321,1295,1240,1158,1084,1263,13
W02000014,4642,1185,3143,2877,2696,2500,2938,56
W02000015,4512,541,3671,3640,3478,3275,3680,38
W02000016,4089,461,3356,3336,3203,3055,3367,18
W02000017,1794,271,1390,1415,1356,1300,1428,8
W02000018,2298,364,1705,1727,1648,1556,1753,49
W02000019,3751,757,2708,2635,2487,2343,2669,36
W02000020,2537,459,1881,1863,1757,1685,1876,42
W02000021,3614,574,2787,2780,2676,2570,2813,31
W02000022,2272,607,1490,1415,1330,1252,1437,49
W02000023,2088,496,1469,1401,1342,1276,1422,26
W02000024,2221,465,1618,1585,1506,1419,1613,18
W02000025,3509,988,2294,2077,1941,1777,2147,38
W02000026,2781,1196,1424,1169,1116,994,1229,48
W02000027,8202,5279,2558,1643,1643,1305,1883,107
W02000028,1895,1084,726,502,454,376,543,13
W02000029,1414,837,511,385,358,309,417,7
W02000030,2385,1504,790,553,518,432,609,25
W02000031,2529,1966,449,286,271,217,323,60
W02000032,2143,1337,716,473,459,356,540,24
W02000033,4890,2907,1691,1157,1100,891,1284,116
W02000034,2751,1710,929,655,627,534,717,33
W02000035,1758,1089,589,406,377,301,453,28
W02000036,2628,1771,753,468,470,383,544,26
W02000037,3597,1982,1432,1038,971,818,1116,62
W02000038,3154,1575,1449,1055,972,810,1137,21
W02000039,2042,839,1103,851,775,673,901,19
W02000040,2255,667,1425,1375,1322,1237,1416,14
W02000041,3558,1169,2155,1867,1764,1590,1942,32
W02000042,744,570,144,94,89,68,112,9
W02000043,2415,1808,481,307,304,238,354,66
W02000044,863,600,236,171,173,146,193,5
W02000045,5580,4126,1198,784,781,603,912,97
W02000047,2209,1682,431,276,272,214,326,39
W02000049,1368,949,364,255,247,203,288,15
W02000050,8043,5162,2232,1541,1475,1168,1720,397
W02000051,3221,1977,1013,738,737,620,822,113
W02000052,2212,1034,1041,728,716,599,797,48
W02000053,2614,1176,1294,1003,952,823,1079,32
W02000054,2020,1131,732,538,493,425,569,94
W02000055,3682,1599,1804,1397,1313,1150,1492,116
