GeographyCode,WP207WA0001,WP207WA0002,WP207WA0003,WP207WA0004,WP207WA0005,WP207WA0006,WP207WA0007,WP207WA0008,WP207WA0009,WP207WA0010,WP207WA0011,WP207WA0012
W92000004,1326364,964133,74498,217606,25060,18397,173098,1051,19919,4900,1103,44205
W06000001,24405,6576,2986,14037,1485,1037,11465,50,267,87,17,435
W06000002,57626,13216,4905,38058,2666,2052,33219,121,583,162,41,661
W06000003,45201,25716,5073,12714,1641,1110,9909,54,842,220,49,587
W06000004,41357,25214,4073,9895,1284,916,7654,41,726,194,35,1220
W06000005,72020,46314,3277,6517,1039,665,4762,51,950,236,54,14672
W06000006,60837,43375,3445,5659,866,607,4150,36,966,247,65,7080
W06000008,32426,12125,3347,16078,1409,1250,13349,70,517,144,25,190
W06000009,52951,38666,3667,8827,1369,954,6453,51,783,200,46,762
W06000010,73870,32900,9419,29339,3886,2757,22580,116,1362,405,90,355
W06000011,110469,87791,6885,11932,1721,1220,8933,58,1949,419,76,1417
W06000012,51434,40657,3198,6019,957,629,4410,23,1008,226,51,275
W06000013,60466,51265,2494,4666,524,485,3627,30,1261,273,48,459
W06000014,45574,38774,1583,3627,406,306,2895,20,642,138,24,786
W06000015,199702,166874,6627,18699,1798,1603,15204,94,2957,628,147,3770
W06000016,82073,68009,3323,7962,796,635,6490,41,1602,379,63,735
W06000018,58647,50587,1712,4555,470,405,3651,29,715,148,37,893
W06000019,22021,19850,506,1078,169,106,791,12,168,40,29,350
W06000020,38863,34867,792,2197,313,218,1642,24,273,98,40,596
W06000021,38064,31788,756,1778,274,181,1305,18,280,91,31,3340
W06000022,73360,65711,1418,3491,552,306,2601,32,558,188,36,1958
W06000023,60142,42472,4103,8607,1231,807,6505,64,1088,282,74,3516
W06000024,24856,21386,909,1871,204,148,1503,16,422,95,25,148
W02000001,3011,703,304,1939,193,121,1622,3,28,5,1,31
W02000002,1278,387,116,745,65,45,634,1,16,3,2,9
W02000003,3776,1202,749,1656,294,172,1185,5,61,21,1,86
W02000004,2067,668,345,998,135,84,775,4,31,7,0,18
W02000005,2185,727,293,1099,134,103,859,3,35,7,1,23
W02000006,4635,645,427,3484,252,240,2980,12,25,17,6,31
W02000007,2769,1073,223,1273,133,88,1044,8,21,10,2,167
W02000008,2112,559,242,1239,121,91,1021,6,26,7,2,37
W02000009,2572,612,287,1604,158,93,1345,8,24,10,2,33
W02000010,6359,2222,722,3204,306,226,2661,11,103,30,3,75
W02000011,6479,1660,824,3783,361,331,3077,14,94,25,10,83
W02000012,2952,649,313,1911,174,120,1611,6,37,7,2,33
W02000013,1728,321,131,1240,98,64,1073,5,17,4,2,13
W02000014,4642,1185,463,2877,230,162,2475,10,46,13,2,56
W02000015,4512,541,253,3640,192,182,3258,8,31,7,2,38
W02000016,4089,461,243,3336,155,134,3038,9,23,8,0,18
W02000017,1794,271,87,1415,62,57,1289,7,9,1,3,8
W02000018,2298,364,132,1727,101,78,1545,3,18,7,1,49
W02000019,3751,757,289,2635,171,132,2324,8,23,8,3,36
W02000020,2537,459,160,1863,110,72,1673,8,9,3,1,42
W02000021,3614,574,196,2780,126,96,2550,8,21,9,3,31
W02000022,2272,607,179,1415,100,67,1241,7,18,4,0,49
W02000023,2088,496,144,1401,73,56,1267,5,17,2,2,26
W02000024,2221,465,125,1585,103,70,1410,2,21,5,2,18
W02000025,3509,988,336,2077,196,123,1752,6,51,15,4,38
W02000026,2781,1196,308,1169,108,82,975,4,45,14,1,48
W02000027,8202,5279,933,1643,220,178,1234,11,180,51,9,107
W02000028,1895,1084,255,502,85,52,364,1,30,8,3,13
W02000029,1414,837,153,385,56,25,301,3,27,5,0,7
W02000030,2385,1504,247,553,82,58,408,5,37,15,4,25
W02000031,2529,1966,180,286,48,32,204,2,26,9,2,60
W02000032,2143,1337,242,473,79,46,347,1,59,7,1,24
