GeographyCode,WP210EW0001,WP210EW0002,WP210EW0003,WP210EW0004,WP210EW0005,WP210EW0006,WP210EW0007,WP210EW0008,WP210EW0009,WP210EW0010
K04000001,26414207,15445401,131478,427460,119516,825664,211084,133705,7324074,1795825
E92000001,25087843,14694608,126747,421985,118617,811749,209632,127480,6872882,1704143
W92000004,1326364,750793,4731,5475,899,13915,1452,6225,451192,91682
E12000001,1124017,752428,2888,4012,1231,14212,3062,3356,279827,63001
E12000002,3224701,2160880,10795,20471,12339,106881,4350,10504,712119,186362
E12000003,2417774,1447662,7303,12918,4375,90677,11379,8995,680454,154011
E12000004,2057346,1191957,6426,43712,1836,45938,21699,9516,603922,132340
E12000005,2515748,1537493,8322,35578,1983,97810,63033,13435,602399,155695
E12000006,2650835,1533351,11860,30915,13580,52079,9701,13716,802511,183122
E12000007,4500481,2264756,44276,211848,72015,309824,65946,28711,1149234,353871
E12000008,4063350,2338011,23961,53006,8481,75489,27107,22764,1229315,285216
E12000009,2533591,1468070,10916,9525,2777,18839,3355,16483,813101,190525
E06000001,34197,23988,76,77,6,261,56,88,7676,1969
E06000002,62839,41932,159,308,23,2194,192,155,14273,3603
E06000003,45844,31691,97,64,7,429,52,150,10574,2780
E06000004,86322,58865,189,285,37,1467,235,209,20180,4855
E06000005,52096,34913,157,201,21,419,191,155,13060,2979
E06000006,57420,42127,117,188,48,346,57,141,11477,2919
E06000007,114983,80752,312,548,147,1279,159,361,25163,6262
E06000008,64522,39368,166,319,43,10016,67,196,11021,3326
E06000009,63189,42707,263,276,125,643,46,280,15020,3829
E06000010,124406,71535,376,384,120,1668,189,438,41479,8217
E06000011,133512,86732,354,229,99,753,78,433,35619,9215
E06000012,71067,43419,185,225,25,568,113,291,21455,4786
E06000013,76797,50435,207,248,36,975,286,229,19309,5072
E06000014,102927,60515,532,514,114,881,106,447,32316,7502
E06000015,123890,68164,421,1240,76,4756,3772,584,36983,7894
E06000016,163224,67515,571,21121,191,15563,6877,1016,41426,8944
E06000017,18293,11992,64,65,33,113,23,88,4677,1238
E06000018,174216,85596,888,2260,317,7050,2127,939,62860,12179
E06000019,87169,57130,331,193,55,299,73,528,21833,6727
E06000020,83177,51500,235,670,30,1173,1314,437,22538,5280
E06000021,114156,72878,399,707,42,3711,300,446,28908,6765
E06000022,89861,48060,492,326,137,565,98,589,32322,7272
E06000023,236098,115055,1415,1388,368,5315,903,1675,91997,17982
E06000024,83584,48028,307,220,59,483,75,506,27939,5967
E06000025,141998,78512,509,1047,119,1560,411,662,49375,9803
E06000026,121963,71029,466,298,79,616,47,675,40322,8431
E06000027,52544,31733,205,102,40,225,33,326,16019,3861
E06000028,81141,44820,559,688,388,1188,89,573,26754,6082
E06000029,78847,45223,340,336,162,584,51,478,25962,5711
E06000030,108642,62166,586,1334,85,1342,611,587,34763,7168
E06000031,101167,60664,283,1182,83,4545,489,376,27116,6429
E06000032,89954,49161,353,2799,307,10140,1082,506,20199,5407
E06000033,72074,39855,443,659,635,1164,99,409,23552,5258
E06000034,64202,39326,251,748,130,1271,586,219,17799,3872
E06000035,98648,57477,478,1191,84,1607,1498,563,29291,6459
E06000036,59267,34066,486,1281,131,897,477,280,17843,3806
E06000037,87006,52429,337,1008,144,900,291,417,25725,5755
E06000038,89115,47329,832,2924,187,3711,1004,448,26669,6011
E06000039,74593,36705,503,4122,160,7795,5906,363,14681,4358
E06000040,76112,44507,496,1753,268,2970,1692,351,19030,5045
E06000041,69107,39144,411,1413,203,1630,671,291,20581,4763
E06000042,143998,78159,690,3583,342,4300,867,761,46321,8975
E06000043,134345,56922,1415,948,1042,2069,179,1369,59251,11150
E06000044,109456,60470,498,621,120,1733,203,607,37667,7537
E06000045,112852,61036,587,1117,136,2463,1250,684,37734,7845
E06000046,56591,32164,220,155,59,218,24,424,18895,4432
E06000047,196872,139524,442,337,89,1004,383,634,43595,10864
E06000048,123686,83132,272,181,73,685,246,397,31323,7377
E06000049,182026,120087,500,773,302,1657,170,606,46703,11228
E06000050,158249,107948,461,404,151,969,138,517,38007,9654
E06000051,145002,96155,436,325,75,852,330,630,36050,10149
E06000052,235859,134530,929,384,188,552,87,1883,77949,19357
E06000053,1299,644,8,1,2,1,0,9,494,140
E06000054,222448,137083,962,904,201,1101,219,1341,64127,16510
E06000055,74527,43966,298,1191,90,2287,1318,711,20046,4620
E06000056,98170,57961,368,1108,256,2055,479,466,29035,6442
E07000004,75310,45169,329,765,166,2195,187,342,21038,5119
E07000005,35476,20976,171,552,204,939,218,191,9639,2586
E07000006,33210,19401,229,920,163,1125,980,143,8036,2213
E07000007,80986,46043,448,1341,216,4299,588,412,22242,5397
E07000008,94190,46869,913,1216,381,1847,193,536,34628,7607
E07000009,31112,19060,126,75,36,176,51,147,9135,2306
E07000010,38156,24860,100,160,36,414,78,156,9723,2629
E07000011,77355,45974,297,421,92,919,185,354,23828,5285
E07000012,74393,40783,337,639,155,762,139,368,25554,5656
E07000026,40513,29921,107,31,10,125,9,116,7786,2408
E07000027,31302,21585,86,61,12,117,6,95,7484,1856
E07000028,56652,38594,172,129,18,242,20,174,13642,3661
E07000029,34640,26601,81,66,12,131,5,84,5756,1904
E07000030,28783,19779,88,64,16,99,4,95,6616,2022
E07000031,52022,34026,241,35,32,156,11,244,13565,3712
E07000032,55025,32428,140,136,31,389,209,295,17618,3779
E07000033,29342,18189,64,82,12,170,68,89,8755,1913
E07000034,51786,32260,150,198,24,450,105,226,14978,3395
E07000035,36196,23764,93,47,22,251,70,164,9367,2418
E07000036,42970,24236,96,226,25,295,198,177,14814,2903
E07000037,35791,22342,149,66,31,240,14,165,10326,2458
E07000038,31416,19845,60,136,19,353,60,91,8796,2056
E07000039,33980,21103,107,129,18,371,413,138,9531,2170
E07000040,53997,32692,197,44,62,161,14,330,16205,4292
E07000041,83220,45923,390,149,88,569,75,567,29175,6284
E07000042,30331,18337,98,50,15,74,5,171,9156,2425
E07000043,47704,27719,189,77,30,167,31,297,15232,3962
E07000044,43382,25196,250,39,49,116,13,373,13773,3573
E07000045,50050,29457,203,45,42,144,9,360,15788,4002
E07000046,24610,14969,67,16,11,80,11,189,7248,2019
E07000047,21560,13178,86,17,22,42,5,151,6340,1719
E07000048,20702,12330,92,47,42,122,7,141,6350,1571
E07000049,33977,20689,77,52,55,160,15,202,10174,2553
E07000050,30265,19343,136,126,33,96,13,179,8029,2310
E07000051,20220,12197,78,21,12,57,11,124,6180,1540
E07000052,52101,31802,225,98,45,167,18,404,15128,4214
E07000053,21283,12392,128,31,27,116,15,152,6831,1591
E07000061,43881,24824,263,269,56,510,30,314,14252,3363
E07000062,36828,18822,235,249,59,486,33,343,13654,2947
E07000063,40055,20923,258,134,105,268,34,331,14754,3248
E07000064,32090,18809,126,121,56,206,14,218,9950,2590
E07000065,55601,32471,252,163,95,308,34,455,17504,4319
E07000066,82802,48496,323,903,247,1069,203,361,25761,5439
E07000067,57625,33991,193,289,100,422,58,257,18240,4075
E07000068,33868,21427,149,452,174,554,134,136,8572,2270
E07000069,25388,15161,89,162,65,256,33,116,7735,1771
E07000070,82621,49349,317,662,208,886,150,387,25152,5510
E07000071,83688,48084,444,573,122,782,103,461,27400,5719
E07000072,47610,28265,201,736,1179,1225,373,214,12082,3335
E07000073,39814,22013,167,516,186,926,98,198,13175,2535
E07000074,23037,14075,74,56,36,157,17,95,6787,1740
E07000075,26660,15618,67,155,94,192,23,120,8566,1825
E07000076,44323,26509,156,176,48,218,27,220,13838,3131
E07000077,40286,24569,194,232,120,447,62,170,11625,2867
E07000078,63483,36639,260,450,72,545,136,316,20437,4628
E07000079,43391,28106,131,119,52,162,35,234,11573,2979
E07000080,30458,19444,106,46,12,88,42,173,8250,2297
E07000081,63844,39275,221,366,39,1156,91,314,18126,4256
E07000082,50092,29707,196,129,51,188,36,449,15462,3874
E07000083,46180,28438,114,230,38,302,61,210,13711,3076
E07000084,84821,49051,526,1069,107,922,268,396,26687,5795
E07000085,48214,29437,264,186,69,282,59,259,14224,3434
E07000086,64219,37693,223,403,55,690,405,327,20245,4178
E07000087,51004,30085,159,166,43,326,61,274,16439,3451
E07000088,26652,15478,93,96,13,187,19,181,8884,1701
E07000089,40079,24100,383,540,46,433,141,147,11654,2635
E07000090,46667,26046,140,146,46,294,46,252,16624,3073
E07000091,75620,45766,251,166,103,399,92,510,22664,5669
E07000092,49880,28371,996,1422,66,722,196,216,14484,3407
E07000093,57602,35934,195,228,40,328,162,325,16377,4013
E07000094,75566,44463,384,466,93,532,216,399,23811,5202
E07000095,38867,23932,164,488,259,1083,106,141,10116,2578
E07000096,66247,36918,326,1252,435,1822,214,342,20328,4610
E07000097,58180,34771,265,462,239,655,100,250,17378,4060
E07000098,46377,24065,406,2023,4004,1512,172,344,10509,3342
E07000099,52441,28911,276,545,155,708,876,293,17027,3650
E07000100,61531,35129,393,1285,806,2156,219,296,17000,4247
E07000101,44839,24198,234,732,167,973,402,280,14836,3017
E07000102,35393,20081,167,1562,585,956,202,234,9280,2326
E07000103,51469,27600,365,3125,813,3177,412,385,12296,3296
E07000104,68426,38254,442,1702,611,1827,385,393,20255,4557
E07000105,54618,33135,420,624,61,422,89,273,15569,4025
E07000106,66713,39260,378,424,99,565,117,414,20272,5184
E07000107,54972,32640,276,852,66,1143,1289,230,14967,3509
E07000108,43282,26553,198,257,39,294,50,272,12413,3206
E07000109,32015,19364,117,366,30,513,2086,173,7457,1909
E07000110,76795,46729,455,843,80,820,298,410,22018,5142
E07000111,46402,28876,215,274,76,407,166,197,12855,3336
E07000112,44250,26233,575,915,29,355,33,236,12621,3253
E07000113,52439,32326,152,297,32,395,225,230,15406,3376
E07000114,47538,28025,235,355,87,518,63,310,14627,3318
E07000115,60126,36320,238,424,56,515,207,279,17984,4103
E07000116,54985,33177,236,323,101,648,64,272,15954,4210
E07000117,37472,24112,112,124,13,2831,16,140,8054,2070
E07000118,41674,30432,126,174,28,621,29,149,7783,2332
