GeographyCode,WP302EW0001,WP302EW0002,WP302EW0003,WP302EW0004,WP302EW0005,WP302EW0006
K04000001,26414207,13137540,10633758,2255101,323585,64223
E92000001,25087843,12455383,10127798,2139019,305170,60473
W92000004,1326364,682157,505960,116082,18415,3750
E12000001,1124017,535172,465539,104696,15397,3213
E12000002,3224701,1607236,1281317,283894,43902,8352
E12000003,2417774,1166908,996695,217254,30979,5938
E12000004,2057346,967047,868097,191338,25937,4927
E12000005,2515748,1188656,1050616,236311,33618,6547
E12000006,2650835,1290510,1097476,226851,30219,5779
E12000007,4500481,2382703,1719904,335589,50606,11679
E12000008,4063350,2048374,1634805,327613,44196,8362
E12000009,2533591,1268777,1013349,215473,30316,5676
E06000001,34197,15860,14330,3362,542,103
E06000002,62839,31193,25264,5399,803,180
E06000003,45844,21617,19215,4266,615,131
E06000004,86322,41567,35677,7705,1138,235
E06000005,52096,24897,21981,4460,619,139
E06000006,57420,28522,22962,5003,775,158
E06000007,114983,58949,45425,9036,1368,205
E06000008,64522,30969,26316,6076,976,185
E06000009,63189,28539,26555,6716,1168,211
E06000010,124406,58456,52482,11582,1586,300
E06000011,133512,64144,55407,12109,1545,307
E06000012,71067,33346,30140,6536,854,191
E06000013,76797,35169,33297,7160,991,180
E06000014,102927,53575,40356,7779,1031,186
E06000015,123890,59220,51479,11341,1549,301
E06000016,163224,74941,70112,15617,2125,429
E06000017,18293,9233,7324,1512,192,32
E06000018,174216,84356,70924,16009,2439,488
E06000019,87169,42119,35721,7991,1131,207
E06000020,83177,39187,34891,7777,1077,245
E06000021,114156,52155,48855,11066,1765,315
E06000022,89861,47139,34890,6768,914,150
E06000023,236098,121390,92312,19056,2797,543
E06000024,83584,40788,34194,7403,1005,194
E06000025,141998,71897,56781,11409,1624,287
E06000026,121963,61013,48239,10600,1802,309
E06000027,52544,25389,21095,5098,812,150
E06000028,81141,41126,31925,6886,1021,183
E06000029,78847,39824,31642,6342,863,176
E06000030,108642,54131,44486,8667,1154,204
E06000031,101167,47252,43519,8920,1262,214
E06000032,89954,43512,37399,7736,1074,233
E06000033,72074,34255,29779,6857,1025,158
E06000034,64202,30236,27253,5798,764,151
E06000035,98648,45393,42272,9471,1292,220
E06000036,59267,31725,22832,4119,488,103
E06000037,87006,44755,34882,6434,813,122
E06000038,89115,46227,35199,6686,864,139
E06000039,74593,36754,30715,6140,808,176
E06000040,76112,41475,28878,4996,642,121
E06000041,69107,37140,26744,4575,539,109
E06000042,143998,72020,59023,11167,1488,300
E06000043,134345,67992,53114,11123,1727,389
E06000044,109456,54010,44540,9322,1338,246
E06000045,112852,57016,45076,9184,1301,275
E06000046,56591,25838,24221,5585,792,155
E06000047,196872,89867,84309,19263,2809,624
E06000048,123686,58541,51368,11838,1634,305
E06000049,182026,94393,70767,14549,1990,327
E06000050,158249,81813,61709,12651,1748,328
E06000051,145002,72018,58389,12564,1712,319
E06000052,235859,116739,93095,22089,3274,662
