GeographyCode,WP403EW0001,WP403EW0002,WP403EW0003,WP403EW0004,WP403EW0005,WP403EW0006,WP403EW0007,WP403EW0008,WP403EW0009,WP403EW0010,WP403EW0011,WP403EW0012,WP403EW0013,WP403EW0014
K04000001,26249664,18426201,5265417,13160784,221690,2607690,1370932,1236758,4762276,4333031,95567,263242,70436,231807
E92000001,24931010,17429242,4952322,12476920,216954,2491297,1303203,1188094,4574196,4166166,92673,247544,67813,219321
W92000004,1318654,996959,313095,683864,4736,116393,67729,48664,188080,166865,2894,15698,2623,12486
E12000001,1119539,831662,213406,618256,3488,131708,88028,43680,144000,128783,2002,11286,1929,8681
E12000002,3206793,2395641,669676,1725965,15253,296275,128666,167609,476612,433766,5046,32425,5375,23012
E12000003,2401226,1773732,498280,1275452,9204,213421,146503,66918,384284,346088,7075,25022,6099,20585
E12000004,2044428,1511354,436974,1074380,14214,174549,110608,63941,327850,296595,6531,20093,4631,16461
E12000005,2502854,1845193,549826,1295367,17659,257636,144914,112722,361645,327951,6533,22152,5009,20721
E12000006,2633507,1875676,544636,1331040,23269,271139,136066,135073,439161,395735,12498,23450,7478,24262
E12000007,4484169,2577485,710806,1866679,60750,574799,307179,267620,1230906,1164216,10192,44340,12158,40229
E12000008,4030818,2837175,790684,2046491,51180,366117,151599,214518,736609,656247,26527,38589,15246,39737
E12000009,2507676,1781324,538034,1243290,21937,205653,89640,116013,473129,416785,16269,30187,9888,25633
E06000001,34155,26104,6570,19534,118,3819,1800,2019,3867,3466,42,306,53,247
E06000002,62660,47213,11775,35438,260,6333,3141,3192,8308,7342,135,705,126,546
E06000003,45791,35578,9755,25823,196,4074,2170,1904,5577,4924,99,486,68,366
E06000004,86054,67824,16615,51209,257,7166,3924,3242,10258,9137,91,910,120,549
E06000005,51980,39323,9921,29402,129,3941,2726,1215,8198,7271,142,678,107,389
E06000006,57325,43463,11026,32437,363,7266,1625,5641,5963,5451,33,410,69,270
E06000007,114365,88414,22426,65988,674,10399,4622,5777,14302,13029,110,1027,136,576
E06000008,64343,50025,15786,34239,289,4808,1650,3158,8685,7730,115,701,139,536
E06000009,61384,46076,12078,33998,253,2836,1479,1357,11809,10726,104,901,78,410
E06000010,124045,88360,21480,66880,343,13282,10577,2705,21370,19751,118,1299,202,690
E06000011,132647,102377,30862,71515,369,7941,6185,1756,20538,18480,428,1305,325,1422
E06000012,70942,55112,14172,40940,226,3962,1497,2465,11221,10096,175,828,122,421
E06000013,76670,59105,16061,43044,201,5628,2764,2864,11072,9877,269,791,135,664
E06000014,101639,71377,20761,50616,640,8344,5033,3311,20364,18464,437,1106,357,914
E06000015,123301,91508,25421,66087,828,11117,7015,4102,19095,17611,144,1140,200,753
E06000016,162317,114202,34355,79847,1083,16747,10628,6119,29170,27086,319,1448,317,1115
E06000017,17335,12294,3888,8406,199,1340,505,835,3271,2489,408,156,218,231
E06000018,172889,117713,30977,86736,943,18812,12976,5836,34346,31910,244,1925,267,1075
E06000019,86401,59904,22450,37454,978,8006,2298,5708,16104,14078,758,950,318,1409
E06000020,82793,60024,15409,44615,409,8913,3900,5013,12870,11566,280,839,185,577
E06000021,113919,85695,24563,61132,402,12804,8860,3944,14210,12843,175,1010,182,808
E06000022,89082,63865,19476,44389,532,6992,2017,4975,16917,15487,294,924,212,776
E06000023,234961,158100,41751,116349,1768,20662,13935,6727,52864,49248,479,2762,375,1567
E06000024,83243,62644,17337,45307,599,4946,2367,2579,14441,13121,192,1009,119,613
E06000025,141489,106122,27426,78696,831,9468,4134,5334,24093,21962,465,1363,303,975
E06000026,121216,83829,21124,62705,1119,12330,5660,6670,23258,20038,1004,1581,635,680
E06000027,51737,37226,10769,26457,594,2372,310,2062,11171,10147,111,837,76,374
E06000028,80548,52211,13736,38475,682,5239,2528,2711,21870,20295,234,1189,152,546
E06000029,78478,55215,15171,40044,774,5711,2904,2807,16228,14662,383,967,216,550
E06000030,108420,78782,18187,60595,1345,9310,6025,3285,18414,16729,329,1097,259,569
E06000031,100435,69955,17488,52467,997,9093,3392,5701,19663,17758,503,1022,380,727
E06000032,89787,62452,15838,46614,661,7810,4818,2992,18369,17188,148,815,218,495
E06000033,71916,51889,14130,37759,413,5061,2608,2453,14029,13048,132,751,98,524
E06000034,64086,45953,11403,34550,389,7895,6197,1698,9518,8858,78,478,104,331
E06000035,97845,72475,18835,53640,1194,7437,2255,5182,16043,14378,412,919,334,696
E06000036,58356,42778,9759,33019,693,5468,1898,3570,8894,7623,517,493,261,523
E06000037,86543,61423,16429,44994,1204,8304,1173,7131,14440,12777,681,681,301,1172
E06000038,88441,59543,15063,44480,1497,7818,3994,3824,19049,17718,270,831,230,534
E06000039,74498,48426,11990,36436,1038,8051,4011,4040,16534,15571,173,625,165,449
E06000040,75291,52284,14769,37515,707,6822,1578,5244,14220,12364,839,582,435,1258
E06000041,68533,52114,13855,38259,837,4214,2309,1905,10833,9726,393,491,223,535
E06000042,143682,97111,22058,75053,6975,13542,7035,6507,25297,23502,244,1320,231,757
E06000043,133534,80147,21347,58800,1317,11082,7205,3877,39883,37653,211,1782,237,1105
E06000044,108332,73569,18426,55143,977,10562,6378,4184,22563,19325,1077,1482,679,661
E06000045,111934,71956,18423,53533,1203,12901,8483,4418,25187,23496,254,1212,225,687
E06000046,55784,40418,13432,26986,440,3775,400,3375,10632,9548,148,819,117,519
E06000047,195494,151036,42067,108969,423,19387,12608,6779,23070,20715,293,1808,254,1578
E06000048,122682,88814,26221,62593,378,14207,8526,5681,17223,14897,674,1212,440,2060
E06000049,181411,142111,40938,101173,797,11852,3936,7916,25306,22969,347,1644,346,1345
E06000050,157818,120703,33885,86818,1095,13177,6852,6325,21612,19373,461,1436,342,1231
E06000051,142722,103034,35871,67163,947,12459,4866,7593,24325,20984,1246,1494,601,1957
E06000052,233557,166347,59897,106450,2122,18149,8307,9842,44071,37999,1310,3959,803,2868
E06000053,1234,420,257,163,10,214,139,75,446,299,66,20,61,144
E06000054,215923,148601,43618,104983,1927,22175,6384,15791,40179,30030,4960,2036,3153,3041
E06000055,74244,53564,15268,38296,912,7269,1200,6069,11896,10825,212,657,202,603
E06000056,97672,71425,19658,51767,1071,9607,3968,5639,14824,12857,686,779,502,745
E07000004,74861,54586,15332,39254,874,7199,2220,4979,11451,9917,562,656,316,751
E07000005,35403,26421,8892,17529,414,3447,822,2625,4739,4265,176,224,74,382
E07000006,32963,23232,7087,16145,448,3100,1051,2049,5742,5080,282,252,128,441
E07000007,80388,57570,16776,40794,919,6882,3744,3138,14264,12186,912,632,534,753
E07000008,92545,58107,17812,40295,1580,10464,5925,4539,21477,19807,492,812,366,917
E07000009,31036,21957,6919,15038,436,3054,603,2451,4865,4349,163,282,71,724
E07000010,37854,27564,8197,19367,217,2719,740,1979,7011,6392,112,413,94,343
E07000011,76674,55665,14957,40708,726,6510,1689,4821,13177,11764,450,690,273,596
E07000012,73687,52192,15811,36381,1093,7529,4072,3457,12146,10642,596,537,371,727
E07000026,40065,30444,11437,19007,188,4679,778,3901,4256,3610,121,412,113,498
E07000027,31211,25752,7085,18667,47,1513,1139,374,3669,3215,69,334,51,230
E07000028,56382,43440,13928,29512,218,3988,768,3220,8217,7204,236,622,155,519
E07000029,34445,28406,8705,19701,47,2836,1061,1775,2902,2504,70,271,57,254
E07000030,28469,20395,8535,11860,278,2024,382,1642,5149,4485,191,391,82,623
E07000031,50875,37471,14272,23199,283,3597,2217,1380,8724,7650,324,622,128,800
E07000032,54953,43438,13589,29849,194,4145,2337,1808,6810,6123,70,512,105,366
E07000033,29289,21867,6399,15468,81,2789,2226,563,4336,3916,39,331,50,216
E07000034,51681,38317,11554,26763,130,6584,5742,842,6328,5687,60,485,96,322
E07000035,35925,26999,10743,16256,235,2840,1385,1455,5209,4535,157,384,133,642
E07000036,42905,33794,9833,23961,195,3117,1479,1638,5509,5046,40,377,46,290
E07000037,35592,27535,8919,18616,197,2773,2017,756,4735,4177,51,417,90,352
E07000038,31371,23826,7952,15874,90,3942,3369,573,3279,2902,50,253,74,234
E07000039,33858,26144,7468,18676,158,2406,1508,898,4834,4323,144,310,57,316
E07000040,52907,37907,13530,24377,389,4447,2775,1672,9500,8279,321,707,193,664
E07000041,82571,57405,16195,41210,786,6748,3863,2885,17098,15740,202,1004,152,534
E07000042,30259,21412,7877,13535,334,2524,1596,928,5509,4896,189,358,66,480
E07000043,46821,33796,11673,22123,411,2805,792,2013,9234,7866,412,709,247,575
