GeographyCode,WP601EW0001,WP601EW0002,WP601EW0003,WP601EW0004,WP601EW0005,WP601EW0006,WP601EW0007,WP601EW0008
K04000001,26414207,5634988,15733446,155158,754321,1032166,2031799,1072329
E92000001,25087843,5327960,14961807,147628,712776,989171,1931814,1016687
W92000004,1326364,307028,771639,7530,41545,42995,99985,55642
E12000001,1124017,269909,684031,5770,28330,29550,60709,45718
E12000002,3224701,724758,1938560,18138,88280,104453,211801,138711
E12000003,2417774,565458,1427357,14372,67393,80408,161998,100788
E12000004,2057346,466661,1223911,11417,56212,72117,145175,81853
E12000005,2515748,568037,1503679,14574,67967,87406,175041,99044
E12000006,2650835,592403,1524201,15632,76248,114927,225776,101648
E12000007,4500481,705737,2868934,29190,137458,195672,381844,181646
E12000008,4063350,853047,2369829,23228,112452,188354,349664,166776
E12000009,2533591,581950,1421305,15307,78436,116284,219806,100503
E06000001,34197,9663,19632,213,853,874,1743,1219
E06000002,62839,17932,36360,314,1287,1358,2511,3077
E06000003,45844,12578,26055,290,1288,1399,2688,1546
E06000004,86322,21894,52530,412,1907,2167,4222,3190
E06000005,52096,12516,32121,241,1279,1307,2830,1802
E06000006,57420,12098,37907,230,1205,1246,2951,1783
E06000007,114983,24156,74501,459,2288,2894,6231,4454
E06000008,64522,15345,38483,489,1807,2042,3698,2658
E06000009,63189,15990,34339,385,1895,2409,5522,2649
E06000010,124406,31644,76176,540,2779,2495,5517,5255
E06000011,133512,32503,73378,960,4938,5705,11254,4774
E06000012,71067,19846,41220,334,1724,1801,3782,2360
E06000013,76797,18008,47847,390,1963,2167,4258,2164
E06000014,102927,24362,59144,507,2569,3330,6355,6660
E06000015,123890,29473,76316,534,2443,3205,6392,5527
E06000016,163224,40528,97896,879,3882,3977,7299,8763
E06000017,18293,3840,10690,147,604,957,1486,569
E06000018,174216,39039,109827,678,3339,3823,7505,10005
E06000019,87169,20050,45553,656,3496,4657,9933,2824
E06000020,83177,17296,54245,311,1810,2155,4489,2871
E06000021,114156,26817,70321,606,2738,2922,6163,4589
E06000022,89861,20546,49486,523,2503,4229,7208,5366
E06000023,236098,49446,146328,1036,5522,7490,14946,11330
E06000024,83584,20746,44681,490,2527,4057,7567,3516
E06000025,141998,30043,89116,551,2864,4219,9541,5664
E06000026,121963,29981,72233,596,2647,3373,6914,6219
E06000027,52544,14743,25483,419,1952,2661,5417,1869
E06000028,81141,18887,43679,527,2437,3595,7132,4884
E06000029,78847,17533,47453,402,1845,2968,5506,3140
E06000030,108642,22386,70540,347,2074,2931,6826,3538
E06000031,101167,21833,65794,430,2078,2648,5100,3284
E06000032,89954,19030,55031,541,2082,2864,6098,4308
E06000033,72074,19455,37292,458,2088,3337,6390,3054
E06000034,64202,14617,36986,344,1692,2066,5562,2935
E06000035,98648,24133,54673,546,2624,3599,9178,3895
E06000036,59267,10123,39206,215,1119,2095,4510,1999
E06000037,87006,15350,56166,368,2255,3400,6915,2552
E06000038,89115,16984,57607,305,1957,2342,5465,4455
E06000039,74593,11431,51802,359,1544,2411,4577,2469
E06000040,76112,13783,46651,482,2063,3855,6436,2842
E06000041,69107,12844,41998,338,1744,3308,6159,2716
E06000042,143998,26264,96424,560,2753,4017,8846,5134
E06000043,134345,29162,69941,896,4077,7972,13760,8537
E06000044,109456,23650,67708,402,2238,2575,6779,6104
E06000045,112852,25137,66826,497,2387,3078,7347,7580
E06000046,56591,15353,28195,468,2057,3233,5544,1741
E06000047,196872,45904,119193,1018,5444,5699,12284,7330
E06000048,123686,30068,69009,880,4676,5017,10121,3915
E06000049,182026,39206,107912,1103,5709,7602,13390,7104
E06000050,158249,37538,92117,879,4480,5693,10441,7101
E06000051,145002,34364,77760,1115,5763,6798,14340,4862
E06000052,235859,58483,116476,1919,10050,13907,26390,8634
E06000053,1299,204,652,19,121,78,216,9
E06000054,222448,47635,130704,1236,6542,10494,18669,7168
E06000055,74527,16415,44331,433,2000,2818,5344,3186
E06000056,98170,20281,54513,643,3392,4831,10651,3859
E07000004,75310,16096,41858,475,2393,4123,7796,2569
E07000005,35476,7886,17549,321,1410,2965,4075,1270
E07000006,33210,6059,19224,271,1260,1768,3296,1332
E07000007,80986,15110,47802,502,2255,4439,7414,3464
E07000008,94190,17859,61955,305,1628,2540,3858,6045
E07000009,31112,6584,16927,211,1178,1828,3514,870
E07000010,38156,8636,22255,241,1242,1401,3471,910
E07000011,77355,15712,47418,424,2141,3058,6040,2562
E07000012,74393,12877,47627,410,2031,3581,5961,1906
E07000026,40513,10733,21473,335,1718,1525,3481,1248
E07000027,31302,8560,18672,178,681,837,1446,928
E07000028,56652,14284,32846,323,1710,1536,3842,2111
E07000029,34640,7515,22517,172,857,751,2117,711
E07000030,28783,6635,14489,246,1453,1419,3459,1082
E07000031,52022,12224,26852,447,2388,2712,5414,1985
E07000032,55025,12390,33008,273,1540,2049,4119,1646
E07000033,29342,6395,18188,152,735,935,2071,866
E07000034,51786,14090,29798,258,1280,1556,3083,1721
E07000035,36196,8808,18725,313,1457,1913,3702,1278
E07000036,42970,10256,24753,247,1387,1625,3394,1308
E07000037,35791,8467,18851,237,1305,1855,3752,1324
E07000038,31416,7594,16779,211,1099,1499,3279,955
E07000039,33980,6989,20073,228,1018,1513,2955,1204
E07000040,53997,12895,26624,479,2431,3519,6158,1891
E07000041,83220,19107,51869,309,1673,2099,3969,4194
E07000042,30331,7045,14250,281,1450,2101,4323,881
E07000043,47704,11757,24565,361,1917,2411,5203,1490
E07000044,43382,9503,21966,379,1862,3144,5043,1485
E07000045,50050,12028,24861,424,2028,3182,5707,1820
E07000046,24610,6146,10601,246,1364,1825,3803,625
E07000047,21560,5200,9361,202,1064,1695,3245,793
E07000048,20702,4628,11432,151,731,1063,1876,821
E07000049,33977,8051,17301,258,1201,2117,3747,1302
E07000050,30265,6409,16499,226,1135,1804,3374,818
E07000051,20220,4385,11347,153,725,1082,1897,631
E07000052,52101,13114,26902,397,1978,3060,4938,1712
E07000053,21283,6603,9710,154,772,1083,2083,878
E07000061,43881,11494,23158,246,1152,1903,3829,2099
E07000062,36828,9490,18853,249,1115,1924,3869,1328
E07000063,40055,9198,20207,302,1440,2777,4765,1366
E07000064,32090,7673,14514,298,1371,2588,4566,1080
E07000065,55601,12340,25535,508,2425,4704,7995,2094
E07000066,82802,18646,49225,417,2228,2706,6910,2670
E07000067,57625,13101,30706,396,2022,2992,6380,2028
E07000068,33868,7386,19150,219,1127,1705,3189,1092
E07000069,25388,6914,11200,204,1025,1409,3781,855
E07000070,82621,19686,47026,424,2097,3358,6752,3278
E07000071,83688,19714,47629,451,2060,3190,6249,4395
E07000072,47610,10602,23495,490,2111,3063,6100,1749
E07000073,39814,8745,24438,156,803,1195,2939,1538
E07000074,23037,5326,11288,201,983,1501,3041,697
E07000075,26660,6384,13112,211,1013,1574,3531,835
E07000076,44323,12282,21395,313,1681,2454,4828,1370
E07000077,40286,8524,22473,274,1471,2194,4082,1268
E07000078,63483,13839,37590,306,1574,2414,4180,3580
E07000079,43391,9344,23051,335,1803,2719,4543,1596
E07000080,30458,7115,15356,223,1221,1888,3732,923
E07000081,63844,15873,39000,243,1282,1548,3530,2368
E07000082,50092,10999,27085,341,1711,3186,5063,1707
E07000083,46180,8215,30141,229,1209,1767,3342,1277
E07000084,84821,15653,54671,335,1725,3105,6312,3020
E07000085,48214,10608,25400,346,1643,3096,5371,1750
E07000086,64219,13973,39032,299,1470,2270,4774,2401
E07000087,51004,11285,30339,273,1206,2034,3831,2036
E07000088,26652,6211,15387,129,655,1125,2346,799
E07000089,40079,7335,24149,230,1146,2107,3751,1361
E07000090,46667,11249,25787,236,1328,1925,4385,1757
E07000091,75620,18014,39950,591,2474,4301,7283,3007
E07000092,49880,8512,33901,198,1041,1319,3298,1611
E07000093,57602,11540,35346,278,1560,2559,4513,1806
E07000094,75566,15174,46460,359,1898,3090,4905,3680
E07000095,38867,8224,21939,257,1186,1649,4320,1292
E07000096,66247,13738,38091,392,1867,3300,6183,2676
E07000097,58180,13146,31200,376,2030,3222,5941,2265
E07000098,46377,8740,26228,357,1600,2805,4917,1730
E07000099,52441,11621,28989,374,1685,2840,4870,2062
E07000100,61531,13656,33314,421,1868,3762,5469,3041
E07000101,44839,9611,27847,163,827,1231,3201,1959
E07000102,35393,6009,20813,257,1178,2268,3805,1063
E07000103,51469,10441,31197,232,1216,1869,3715,2799
E07000104,68426,12558,44767,263,1299,2039,4040,3460
E07000105,54618,12333,30492,292,1622,2553,5189,2137
E07000106,66713,16134,34940,396,1979,2933,5387,4944
E07000107,54972,12461,32166,228,1271,1542,3958,3346
E07000108,43282,10189,24201,317,1427,2099,3710,1339
E07000109,32015,8364,16439,222,1202,1511,3297,980
E07000110,76795,17142,44383,466,2133,3321,6639,2711
E07000111,46402,10502,23924,398,1764,3111,5200,1503
E07000112,44250,10586,24302,293,1371,1939,4099,1660
E07000113,52439,11920,29553,336,1721,2212,5108,1589
E07000114,47538,12682,23703,335,1605,2413,4828,1972
E07000115,60126,12604,36244,296,1544,2630,5022,1786
E07000116,54985,12294,29973,394,1884,3202,5156,2082
E07000117,37472,9243,22067,229,988,1302,2287,1356
E07000118,41674,10130,23085,258,1368,1636,3535,1662
E07000119,42934,7617,28248,218,1159,1411,2811,1470
E07000120,31172,7085,18310,229,965,1215,2305,1063
E07000121,58893,14648,31960,343,1757,2307,4384,3494
E07000122,34602,8071,19919,257,1092,1458,2537,1268
E07000123,87088,19549,55129,400,1819,1863,3712,4616
E07000124,29815,5558,17848,185,1086,1255,2570,1313
E07000125,24266,5164,13666,161,902,1191,2400,782
E07000126,49069,9912,30499,250,1365,1546,3480,2017
E07000127,49510,10729,29405,321,1535,1736,3531,2253
E07000128,37730,9137,18953,332,1733,1887,3876,1812
E07000129,51967,10827,32821,205,1091,1607,3423,1993
E07000130,67856,14941,39121,385,1924,2591,5147,3747
E07000131,42180,8517,24767,269,1400,1982,3669,1576
E07000132,42514,9258,24430,298,1324,1872,3832,1500
E07000133,22107,4914,12322,151,783,1037,2015,885
E07000134,53711,10266,35284,246,1342,1604,3484,1485
E07000135,21125,5247,11723,134,588,836,1491,1106
E07000136,31094,8011,18331,184,918,901,1912,837
E07000137,51693,12984,26688,459,2315,2658,5141,1448
E07000138,55050,14131,32300,213,1078,1195,2657,3476
E07000139,45839,8992,28439,263,1370,1838,3614,1323
E07000140,38861,7586,24057,251,1320,1461,3196,990
E07000141,57223,13480,31837,382,1891,2628,4823,2182
E07000142,31075,7464,16500,231,1218,1684,2967,1011
E07000143,50487,11584,28230,302,1674,2436,4858,1403
E07000144,47264,10913,25578,307,1504,2585,4961,1416
E07000145,39960,11544,21426,232,1181,1425,2945,1207
E07000146,63513,14745,36369,400,2105,2655,5424,1815
E07000147,39632,10147,18969,352,1734,2671,4644,1115
E07000148,89224,20856,54466,344,1890,2270,4500,4898
E07000149,54367,12990,29579,335,1618,2894,5284,1667
E07000150,30883,5925,21191,112,599,577,1503,976
E07000151,38650,6907,24174,198,1154,1657,3339,1221
E07000152,31128,6659,17253,220,1068,1526,3324,1078
E07000153,42290,9866,24866,233,1110,1485,3192,1538
E07000154,118778,23818,76908,473,2521,2984,7026,5048
E07000155,34323,6597,18915,251,1342,2010,4093,1115
E07000156,34351,6986,21736,213,959,1031,2392,1034
E07000163,27277,6072,14183,194,1231,1338,3111,1148
E07000164,48641,10420,28173,335,1892,1797,4307,1717
E07000165,82129,17283,46970,601,3021,3742,7201,3311
E07000166,27802,4722,17685,165,1095,1012,2383,740
E07000167,25988,5577,13518,240,1300,1412,3144,797
E07000168,46119,12816,22266,387,2032,2091,4581,1946
E07000169,35476,7166,21381,243,1197,1405,2991,1093
E07000170,53093,11614,34194,261,1090,1426,3321,1187
E07000171,51829,12442,31069,303,1387,1642,3439,1547
E07000172,38833,9022,22181,246,1087,1564,3001,1732
E07000173,36897,9125,19635,240,1170,1810,3607,1310
E07000174,40987,10745,23237,224,1139,1298,2903,1441
E07000175,50938,12060,29178,311,1603,2009,3927,1850
E07000176,45942,10408,25850,304,1332,2297,3700,2051
E07000177,71803,14388,44248,357,1864,2859,5523,2564
E07000178,99423,19159,64870,349,1618,2836,4281,6310
E07000179,61683,12563,34755,441,2107,3785,5889,2143
E07000180,62253,11382,39680,308,1668,2589,4651,1975
E07000181,48222,9226,28291,322,1698,2635,4502,1548
E07000187,49267,12077,24480,376,1829,3227,5441,1837
E07000188,46639,11153,24689,298,1713,2367,4772,1647
E07000189,77724,17383,44566,445,2424,3584,7072,2250
E07000190,59898,15064,34046,288,1554,2303,4388,2255
E07000191,14929,3384,7182,138,701,1094,2045,385
E07000192,38814,9805,21287,246,1200,1272,3699,1305
E07000193,59222,13014,36859,328,1466,1811,3639,2105
E07000194,44755,10482,25377,279,1368,1882,3692,1675
E07000195,49280,11413,28832,243,1403,1685,3379,2325
E07000196,36453,8716,18968,285,1352,1786,3877,1469
E07000197,67178,15423,40267,336,1813,2126,4323,2890
E07000198,34851,8092,17817,288,1355,1707,4087,1505
E07000199,30315,7506,17689,138,734,917,2228,1103
E07000200,35722,8291,18589,256,1234,2179,3979,1194
E07000201,32904,6581,21115,152,843,976,2201,1036
E07000202,71601,19396,41980,283,1410,1875,4053,2604
E07000203,41665,8831,23149,304,1429,2476,4399,1077
E07000204,58400,13437,34909,309,1553,2135,3971,2086
E07000205,54351,11969,30774,447,1730,3087,4704,1640
E07000206,44953,12766,23417,321,1414,1965,3621,1449
E07000207,56375,10641,31303,461,1874,4080,5779,2237
E07000208,30223,6747,16217,199,878,1706,3035,1441
E07000209,77684,14304,47621,361,1966,3469,5614,4349
E07000210,46437,8850,27348,295,1441,2722,4436,1345
E07000211,67831,13596,40777,382,1759,3237,5946,2134
E07000212,49802,8133,32838,230,1067,1718,3678,2138
E07000213,41012,7459,24905,230,1161,1862,3911,1484
E07000214,43918,8964,26226,237,1120,1992,3573,1806
E07000215,33114,7230,16813,295,1250,2289,4007,1230
E07000216,52153,11400,26706,459,1956,3762,5633,2237
E07000217,44230,8392,26254,273,1163,2320,4047,1781
E07000218,39558,7393,25974,184,997,1076,2618,1316
E07000219,45300,11700,25941,228,1137,1440,3204,1650
E07000220,47452,9409,29929,217,1159,1616,3387,1735
E07000221,63398,12222,36507,451,2207,3455,6246,2310
E07000222,77726,15226,49341,388,1873,2928,4995,2975
E07000223,22179,5070,11688,159,695,1285,2563,719
E07000224,49092,12180,23951,410,1759,3258,5692,1842
E07000225,61226,13768,33125,372,1955,3523,5675,2808
E07000226,79370,14868,55408,205,1189,1503,3896,2301
E07000227,56174,12135,30139,393,1913,3626,5840,2128
