GeographyCode,WP604EW0001,WP604EW0002,WP604EW0003,WP604EW0004,WP604EW0005,WP604EW0006,WP604EW0007
K04000001,26414207,7702954,2538319,5164635,18711253,15240757,3470496
E92000001,25087843,7298821,2415440,4883381,17789022,14471000,3318022
W92000004,1326364,404133,122879,281254,922231,769757,152474
E12000001,1124017,342956,99063,243893,781061,669002,112059
E12000002,3224701,963075,291533,671542,2261626,1916980,344646
E12000003,2417774,744428,228614,515814,1673346,1390765,282581
E12000004,2057346,618765,203501,415264,1438581,1179291,259290
E12000005,2515748,751352,240030,511322,1764396,1462165,302231
E12000006,2650835,807867,289535,518332,1842968,1478897,364071
E12000007,4500481,1066130,355710,710420,3434351,2678912,755439
E12000008,4063350,1205179,434730,770449,2858171,2289718,568453
E12000009,2533591,799069,272724,526345,1734522,1405270,329252
E06000001,34197,11754,3154,8600,22443,19233,3210
E06000002,62839,22110,6308,15802,40729,35462,5267
E06000003,45844,15511,4839,10672,30333,25234,5099
E06000004,86322,27102,7583,19519,59220,50781,8439
E06000005,52096,15583,4437,11146,36513,31362,5151
E06000006,57420,14993,4249,10744,42427,35866,6561
E06000007,114983,31284,9532,21752,83699,70994,12705
E06000008,64522,20036,5527,14509,44486,38836,5650
E06000009,63189,20945,5473,15472,42244,35657,6587
E06000010,124406,38925,11066,27859,85481,73479,12002
E06000011,133512,43226,14674,28552,90286,71678,18608
E06000012,71067,23933,6909,17024,47134,38625,8509
E06000013,76797,22250,6954,15296,54547,44330,10217
E06000014,102927,34128,11816,22312,68799,58138,10661
E06000015,123890,37792,11804,25988,86098,73698,12400
E06000016,163224,52634,15978,36656,110590,95709,14881
E06000017,18293,5409,1938,3471,12884,10053,2831
E06000018,174216,51817,15920,35897,122399,105994,16405
E06000019,87169,27715,9208,18507,59454,45557,13897
E06000020,83177,22100,6874,15226,61077,51931,9146
E06000021,114156,34155,9604,24551,80001,68872,11129
E06000022,89861,30008,11303,18705,59853,49258,10595
E06000023,236098,67295,22449,44846,168803,142294,26509
E06000024,83584,28350,10012,18338,55234,44158,11076
E06000025,141998,39578,13931,25647,102420,85436,16984
E06000026,121963,39197,12132,27065,82766,69015,13751
E06000027,52544,19419,5712,13707,33125,27278,5847
E06000028,81141,27286,9433,17853,53855,44765,9090
E06000029,78847,23541,8158,15383,55306,45781,9525
E06000030,108642,28509,9165,19344,80133,68279,11854
E06000031,101167,27565,8052,19513,73602,62454,11148
E06000032,89954,25826,8329,17497,64128,53718,10410
E06000033,72074,25817,8897,16920,46257,37759,8498
E06000034,64202,19576,7034,12542,44626,35206,9420
E06000035,98648,31484,10926,20558,67164,53364,13800
E06000036,59267,13927,5025,8902,45340,35348,9992
E06000037,87006,21190,7935,13255,65816,52136,13680
E06000038,89115,23419,8391,15028,65696,54587,11109
E06000039,74593,16031,5174,10857,58562,47361,11201
E06000040,76112,20467,7626,12841,55645,42741,12904
E06000041,69107,18763,7627,11136,50344,39495,10849
E06000042,143998,34983,11450,23533,109015,90685,18330
E06000043,134345,45410,15459,29951,88935,74277,14658
E06000044,109456,31916,10743,21173,77540,63998,13542
E06000045,112852,35229,12742,22487,77623,64118,13505
E06000046,56591,20509,6384,14125,36082,30203,5879
E06000047,196872,58647,17576,41071,138225,116970,21255
E06000048,123686,39188,12220,26968,84498,68951,15547
E06000049,182026,53890,18484,35406,128136,104786,23350
E06000050,158249,50234,16479,33755,108015,89582,18433
E06000051,145002,46246,15599,30647,98756,77284,21472
E06000052,235859,81591,26227,55364,154268,122706,31562
E06000053,1299,307,86,221,992,752,240
E06000054,222448,65471,23582,41889,156977,122567,34410
E06000055,74527,22368,7797,14571,52159,42640,9519
E06000056,98170,28895,10796,18099,69275,53932,15343
E07000004,75310,22871,8205,14666,52439,40944,11495
E07000005,35476,12265,5003,7262,23211,17945,5266
E07000006,33210,9172,3440,5732,24038,18147,5891
E07000007,80986,22962,8816,14146,58024,45983,12041
E07000008,94190,25498,9190,16308,68692,57455,11237
E07000009,31112,9333,3470,5863,21779,16452,5327
E07000010,38156,10990,3670,7320,27166,21287,5879
E07000011,77355,21358,7696,13662,55997,44552,11445
E07000012,74393,18254,6737,11517,56139,45479,10660
E07000026,40513,13645,4062,9583,26868,21678,5190
