ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
WP606EW0001,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_UStluki9,
WP606EW0002,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_1,
WP606EW0003,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_1
WP606EW0004,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_111,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11
WP606EW0005,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_112,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11
WP606EW0006,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_113,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11
WP606EW0007,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_115,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11
WP606EW0008,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_116,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11
WP606EW0009,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_117,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11
WP606EW0010,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_118,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11
WP606EW0011,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_119,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_11
WP606EW0012,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_12,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_3_1
WP606EW0013,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_121,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_12
WP606EW0014,count,F_PERSON_F@5f@PERSON,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_1_122,F@5f@PERSON_OCCPUK11@5f@T125A|C_OCCPUK11H_2_12
