GeographyCode,WP613EW0001,WP613EW0002,WP613EW0003,WP613EW0004,WP613EW0005
K04000001,25476627,6516693,7915372,6059406,4985156
E92000001,24198672,6254705,7530760,5713814,4699393
W92000004,1277955,261988,384612,345592,285763
E12000001,1095941,219643,341043,278597,256658
E12000002,3122971,709582,980053,749599,683737
E12000003,2340523,504042,708206,601620,526655
E12000004,1985948,429590,581416,518014,456928
E12000005,2426158,544878,717405,623520,540355
E12000006,2541851,622589,780686,648881,489695
E12000007,4381943,1522085,1450296,751692,657870
E12000008,3889160,1111857,1233173,903986,640144
E12000009,2414177,590439,738482,637905,447351
E06000001,33484,5697,9249,9793,8745
E06000002,61409,12279,19053,14891,15186
E06000003,44642,7912,11645,13512,11573
E06000004,84314,16785,25892,21916,19721
E06000005,50828,10297,16427,12932,11172
E06000006,56019,11469,16230,13760,14560
E06000007,111643,28869,35047,25463,22264
E06000008,63026,12971,18798,15461,15796
E06000009,59475,9784,21044,13941,14706
E06000010,121626,21551,36692,32180,31203
E06000011,127996,25672,36658,38046,27620
E06000012,69075,10863,19156,19355,19701
E06000013,74581,12445,18831,22376,20929
E06000014,99101,27673,31681,21831,17916
E06000015,120701,30540,35557,28916,25688
E06000016,159067,33491,49602,34728,41246
E06000017,16488,4177,5226,4117,2968
E06000018,169753,42779,57623,34159,35192
E06000019,82029,16717,22110,25128,18074
E06000020,80682,17747,23290,20675,18970
E06000021,111408,19379,32815,30668,28546
E06000022,85966,26663,27120,19361,12822
E06000023,229375,69006,76566,47211,36592
E06000024,79830,19668,24855,20467,14840
E06000025,137390,40325,42058,32885,22122
E06000026,118400,25939,39682,29959,22820
E06000027,49590,9592,15474,13577,10947
E06000028,78053,19330,27081,17582,14060
E06000029,76121,18583,23830,20034,13674
E06000030,105873,27708,31152,24626,22387
E06000031,98302,21320,31292,22816,22874
E06000032,87859,20292,27061,20396,20110
E06000033,69346,14509,24266,17661,12910
E06000034,62447,9772,18124,18860,15691
E06000035,94913,19206,28871,27530,19306
E06000036,56918,20936,17592,11059,7331
E06000037,83617,28567,25080,18521,11449
E06000038,86317,29882,26859,16628,12948
E06000039,73081,20951,21688,16147,14295
E06000040,72593,26061,23245,13673,9614
E06000041,66208,27142,19345,12301,7420
E06000042,140689,40190,46350,27682,26467
E06000043,129834,37809,48242,24618,19165
E06000044,105747,25362,36636,24375,19374
E06000045,109151,28437,36359,23608,20747
E06000046,53357,10487,16088,15452,11330
E06000047,190982,35637,55503,51927,47915
E06000048,118793,23082,35799,33765,26147
E06000049,175284,50453,52063,40070,32698
E06000050,152990,38155,45534,36192,33109
E06000051,136017,29040,38272,40879,27826
E06000052,223620,42621,62984,70887,47128
E06000053,1140,201,350,400,189
E06000054,207264,54328,64649,52193,36094
E06000055,71944,18237,22608,16990,14109
E06000056,94185,23899,27554,25322,17410
E07000004,72034,20025,22890,17625,11494
E07000005,33667,12072,10301,6961,4333
E07000006,31606,10161,10005,7132,4308
E07000007,77476,25355,24317,16451,11353
E07000008,90043,37333,26122,14942,11646
E07000009,29700,6895,7695,9162,5948
E07000010,36548,5071,9164,11108,11205
E07000011,74053,19119,23390,18391,13153
E07000012,70997,25833,20063,15177,9924
E07000026,38636,6662,9453,12622,9899
E07000027,30511,6442,8349,9222,6498
