GeographyCode,WP6604EW0001,WP6604EW0002,WP6604EW0003,WP6604EW0004,WP6604EW0005,WP6604EW0006,WP6604EW0007,WP6604EW0008,WP6604EW0009,WP6604EW0010,WP6604EW0011,WP6604EW0012,WP6604EW0013,WP6604EW0014,WP6604EW0015,WP6604EW0016,WP6604EW0017,WP6604EW0018,WP6604EW0019,WP6604EW0020,WP6604EW0021,WP6604EW0022,WP6604EW0023,WP6604EW0024,WP6604EW0025,WP6604EW0026,WP6604EW0027,WP6604EW0028,WP6604EW0029,WP6604EW0030,WP6604EW0031,WP6604EW0032,WP6604EW0033,WP6604EW0034,WP6604EW0035,WP6604EW0036,WP6604EW0037,WP6604EW0038,WP6604EW0039,WP6604EW0040,WP6604EW0041,WP6604EW0042,WP6604EW0043,WP6604EW0044,WP6604EW0045,WP6604EW0046,WP6604EW0047,WP6604EW0048,WP6604EW0049,WP6604EW0050,WP6604EW0051,WP6604EW0052,WP6604EW0053,WP6604EW0054,WP6604EW0055,WP6604EW0056,WP6604EW0057,WP6604EW0058,WP6604EW0059,WP6604EW0060,WP6604EW0061,WP6604EW0062,WP6604EW0063,WP6604EW0064,WP6604EW0065,WP6604EW0066,WP6604EW0067,WP6604EW0068,WP6604EW0069,WP6604EW0070,WP6604EW0071,WP6604EW0072,WP6604EW0073,WP6604EW0074,WP6604EW0075,WP6604EW0076,WP6604EW0077,WP6604EW0078,WP6604EW0079,WP6604EW0080,WP6604EW0081,WP6604EW0082,WP6604EW0083,WP6604EW0084,WP6604EW0085,WP6604EW0086,WP6604EW0087,WP6604EW0088,WP6604EW0089,WP6604EW0090
K04000001,26414207,601027,2358805,2033940,5689012,2355244,4548826,7514420,1312933,2846992,59869,276404,195047,952674,226091,609900,386769,140238,4592248,53300,234235,161337,164462,467574,927338,2464218,119784,3344220,48159,268269,85782,336413,316315,962259,1073125,253898,3029910,45507,184290,137536,390572,203730,831437,1085002,151836,3026280,159626,531228,1073290,681474,124203,221153,149530,85776,2486348,8239,14656,13997,95944,73994,175608,1738854,365056,2236783,35815,51717,22575,1689495,97845,200193,98719,40424,1906544,87119,571885,191653,278714,537472,113272,101255,25174,2944882,103393,226121,152723,1099264,308020,507666,416948,130747
E92000001,25087843,552282,2214020,1925924,5397821,2275033,4386095,7084383,1252285,2725180,56637,262878,187057,904509,219909,592588,367419,134183,4385344,50593,221850,154373,158441,456208,901156,2328208,114515,3204343,45337,253871,81910,324032,307755,931177,1016975,243286,2881833,42971,175161,131518,374497,197193,799034,1016148,145311,2845601,139831,497347,1013727,643555,118545,211240,140110,81246,2345824,7673,13707,12978,90418,71726,167573,1635174,346575,2116432,32834,49239,21507,1597248,93895,189948,92765,38996,1798266,80827,532293,179918,264503,513594,107770,95337,24024,2785020,95579,207674,142936,1040618,296208,485609,392247,124149
W92000004,1326364,48745,144785,108016,291191,80211,162731,430037,60648,121812,3232,13526,7990,48165,6182,17312,19350,6055,206904,2707,12385,6964,6021,11366,26182,136010,5269,139877,2822,14398,3872,12381,8560,31082,56150,10612,148077,2536,9129,6018,16075,6537,32403,68854,6525,180679,19795,33881,59563,37919,5658,9913,9420,4530,140524,566,949,1019,5526,2268,8035,103680,18481,120351,2981,2478,1068,92247,3950,10245,5954,1428,108278,6292,39592,11735,14211,23878,5502,5918,1150,159862,7814,18447,9787,58646,11812,22057,24701,6598
E12000001,1124017,29681,114756,87329,239168,82718,148426,370968,50971,97055,2418,10700,6932,35222,5363,15374,16044,5002,173805,2228,9969,6383,4914,11201,23150,112454,3506,120054,2475,11647,3614,10215,8405,25966,50010,7722,136129,1972,7518,5188,12870,6787,29432,66001,6361,131379,6882,26830,45675,28149,4686,8772,7209,3176,115450,323,699,559,3957,2043,6924,85118,15827,117951,4396,2399,988,81884,8097,12414,5948,1825,94842,4851,32014,10092,11801,24889,5254,4979,962,137352,4136,12980,7898,50156,11247,21140,23205,6590
E12000002,3224701,70039,329548,237864,729198,255894,498825,955574,147759,317988,6273,37323,21958,116687,20487,57179,43048,15033,528482,6782,34450,19281,19106,39171,88885,309585,11222,367580,5710,36488,10304,40058,26298,97107,126744,24871,381430,4789,24810,15490,48071,22992,101326,146461,17491,362564,18086,70777,124289,83293,13801,25494,17450,9374,326059,699,2094,1990,12655,8533,21489,233538,45061,305619,5311,7357,2850,225911,14682,30243,13880,5385,259572,10519,86129,23178,36511,73243,14780,12331,2881,375407,11870,30120,18524,146906,36687,62322,52537,16441
E12000003,2417774,58329,271532,192116,549632,179194,349856,710215,106900,239671,5508,30157,16927,88136,14565,39609,33976,10793,368494,4052,19966,13872,13608,25849,59546,223534,8067,276495,4082,26643,7948,29252,16698,69304,104366,18202,267220,3843,19699,12530,35119,15246,67940,100883,11960,296427,16777,61903,102945,66135,9500,18203,13928,7036,233372,695,1603,1522,8575,4286,13554,169550,33587,223296,3290,5887,2258,164360,9445,23994,10089,3973,212354,9891,74074,19109,30351,55223,11408,10339,1959,300445,10191,31600,15005,114096,28382,46298,43550,11323
E12000004,2057346,62367,270440,161980,476709,159720,262594,571356,92180,211205,6353,29587,15271,76278,14150,31836,28091,9639,301836,4597,23079,11466,13190,22508,42856,177543,6597,223575,4686,27239,7010,27755,14716,49263,77579,15327,222091,5179,20145,11180,34558,14634,48269,77641,10485,255516,15310,57457,84826,54474,8234,16395,12287,6533,198979,826,1606,1125,7518,3383,11570,144444,28507,173619,4584,5202,2068,133598,6088,12318,7277,2484,197635,9668,77701,16065,28673,44438,10356,8434,2300,272890,11164,28424,12969,100665,31569,39731,38060,10308
E12000005,2515748,64641,307330,189931,562103,200933,356920,719360,114530,254317,6601,34217,18016,90647,17293,42364,33592,11587,400700,6076,27454,14980,15634,32646,60332,234425,9153,278012,5636,29960,8425,32100,19430,66983,97094,18384,288013,5635,24113,13245,41039,17773,72718,99695,13795,306898,16848,71387,98091,66956,11149,20891,13616,7960,240619,772,1764,1327,8883,3976,14894,175488,33515,215596,3303,6291,2460,161997,9027,18402,9720,4396,218943,8718,81107,18632,31724,53871,12087,10210,2594,312650,11052,31037,14755,113123,35768,48249,45520,13146
E12000006,2650835,62280,242366,238322,594007,236112,419274,724109,134365,287450,7047,30432,24350,98860,22982,52374,37031,14374,428500,4327,26738,18311,17306,43638,79095,228323,10762,314066,4331,29447,9994,36294,26238,79875,102504,25383,303080,4968,20922,17965,44650,22934,80555,96416,14670,331950,15653,54640,124898,71469,13587,25698,16143,9862,260882,1397,1527,1368,9331,7466,18317,181873,39603,223706,2233,5512,2661,175322,7062,18333,8897,3686,199497,9479,52756,22122,31649,57550,12484,10525,2932,301704,12845,20392,16653,109126,34655,52543,42397,13093
E12000007,4500481,35648,142654,282618,804107,558510,1264737,1135725,276482,571617,4524,22223,30035,145355,61061,209950,66208,32261,1023866,5969,14748,29826,34421,139624,330520,431650,37108,777429,4418,21768,12984,62592,110575,318833,174710,71549,545815,3539,12617,19613,57865,44339,196186,177199,34457,350263,3853,31613,140089,95057,24741,27170,15666,12074,328416,327,1324,2300,15268,21173,38084,195722,54218,305235,1243,4229,2952,225950,19208,28315,14725,8613,207375,6224,23672,24967,28373,92774,15414,11862,4089,390465,5551,10460,19852,139226,45015,100265,47983,22113
