GeographyCode,WP702EW0001,WP702EW0002,WP702EW0003,WP702EW0004,WP702EW0005,WP702EW0006,WP702EW0007,WP702EW0008,WP702EW0009,WP702EW0010,WP702EW0011,WP702EW0012,WP702EW0013
K04000001,26414207,4404098,4851145,4595061,4066900,1530713,680137,615979,793140,2723998,2153036,311663603.7,14.47096161
E92000001,25087843,4169895,4627483,4364558,3852054,1441559,644693,589957,765015,2581820,2050809,297405237.5,14.5393364
W92000004,1326364,234203,223662,230503,214846,89154,35444,26022,28125,142178,102227,14258366.2,13.17828698
E12000001,1124017,202163,235825,220440,192738,54720,19819,15367,16550,92332,74063,11208892.5,11.70492376
E12000002,3224701,585192,674480,608365,476730,166162,72622,59264,64304,290981,226601,33000676.7,12.19033101
E12000003,2417774,434754,504713,447098,355561,122081,53635,44547,61108,224802,169475,25590080.8,12.64646342
E12000004,2057346,377610,397466,344770,302275,124010,49337,40757,53027,215773,152321,21604857,12.78959978
E12000005,2515748,413588,519084,466004,367294,146395,58317,46032,67420,246010,185604,27005570,12.9576937
E12000006,2650835,471101,439322,363082,403681,194992,83522,62770,82752,304889,244724,32468601.2,15.45224693
E12000007,4500481,475148,720273,934341,829713,244384,126580,166884,203631,380663,418864,65733760.6,17.76130171
E12000008,4063350,705482,684752,600643,578685,266113,120440,101036,136016,502581,367602,50362565.1,15.7719797
E12000009,2533591,504857,451568,379815,345377,122702,60421,53300,80207,323789,211555,30430233.6,15.22846455
E06000001,34197,8452,10563,3090,4269,1469,570,364,284,2473,2663,241528.2,8.311076701
E06000002,62839,10093,15274,14844,9675,2280,1186,1073,949,3337,4128,605446.2,10.93376314
E06000003,45844,8905,7488,10360,7985,1228,742,575,457,4034,4070,368341.4,9.759973503
E06000004,86322,14145,20711,18543,13230,3493,1517,1427,1058,6376,5822,779114.3,10.51095866
E06000005,52096,11469,12605,3931,9208,3949,1392,1248,1174,4180,2940,628565.2,13.97556919
E06000006,57420,10643,13082,9436,8841,3954,2094,1013,1148,3696,3513,634462.9,12.63593436
E06000007,114983,15362,24695,19494,17826,10610,5474,2169,3678,9336,6339,1614805.4,16.26057719
E06000008,64522,14147,15913,10126,9266,2849,1665,961,655,4930,4010,540210.3,9.71915908
E06000009,63189,15214,18278,10509,3976,1896,862,783,712,6173,4786,406275.4,7.77858319
E06000010,124406,22359,40076,26814,12769,3952,2020,1385,2315,5676,7040,1050640.2,9.406752619
E06000011,133512,27308,16717,19259,21132,8524,4753,3134,2842,18942,10901,1402881,13.53230956
E06000012,71067,15634,21621,11466,5518,2772,2070,1042,1197,4574,5173,592307,9.659279191
E06000013,76797,14267,16403,10696,13413,4575,2448,1624,1515,6841,5015,795265.6,12.24597096
E06000014,102927,23806,26129,11793,8526,5745,3579,4248,3735,9297,6069,1239410.2,14.15482007
E06000015,123890,22156,35732,18864,18693,6096,2282,2619,2471,7829,7148,1179679.3,10.83139111
E06000016,163224,31784,47983,34159,15951,5630,3600,2657,3414,9392,8654,1459501.4,10.05318574
E06000017,18293,3948,1178,2297,3181,1395,734,498,833,3011,1218,258029.6,18.34681456
E06000018,174216,25886,46962,42431,21124,8937,3483,2519,4858,8856,9160,1827381.2,11.69898335
E06000019,87169,17848,13092,9889,11429,5642,2068,1650,2548,15123,7880,900606.1,14.03556556
E06000020,83177,13046,19523,15535,8382,7629,2901,2183,2812,6331,4835,1045719.5,14.52166336
E06000021,114156,20313,32748,26517,12152,3199,1040,1950,1966,6933,7338,935996.4,9.370740351
E06000022,89861,17298,16048,10127,19251,3736,1058,1356,3645,10624,6718,1181235.1,16.28862919
E06000023,236098,44777,61281,44426,25709,9364,4956,4766,6435,17841,16543,2441358.7,12.10307019
E06000024,83584,17383,12407,11226,13638,4586,1778,1190,1766,11734,7876,811178.6,12.6798168
E06000025,141998,22069,24070,28212,21611,6749,4863,4164,6653,12787,10820,2115170.1,17.86597039
E06000026,121963,24654,35044,26440,7721,2686,1508,2250,4610,7898,9152,1705791.2,16.2591023
E06000027,52544,15382,11030,8838,2833,864,525,645,549,6853,5025,334351.5,8.221892982
E06000028,81141,16507,24134,13446,6170,925,842,1061,1025,9111,7920,533705.3,8.324836999
E06000029,78847,14093,22300,16177,7030,1489,1252,1157,2080,7451,5818,792490.2,12.08469609
E06000030,108642,20215,31764,18155,5822,4260,2449,4646,4434,8849,8048,1290869.5,14.07018911
E06000031,101167,16179,24349,18272,11504,6707,3113,3139,4298,7158,6448,1340134.4,15.30515184
E06000032,89954,17738,21071,10430,8801,4619,2720,2678,7073,6171,8653,1645528.4,21.90241448
E06000033,72074,17842,16311,13824,4596,1787,833,1184,841,7434,7422,482718,8.436471041
E06000034,64202,8999,11748,10270,11431,4801,1829,971,1237,5186,7730,684953.7,13.35556877
E06000035,98648,18519,23687,13778,10382,2790,2529,2193,2136,9921,12713,934815,12.29793196
E06000036,59267,9425,9718,7788,9620,3237,2249,1861,3422,6875,5072,932585.5,19.70806213
E06000037,87006,12908,12475,11065,13319,7718,3572,3957,4655,10689,6648,1406035.8,20.18165612
E06000038,89115,17557,22025,12411,7708,6514,2241,3388,4100,6999,6172,1174676,15.46766038
E06000039,74593,11526,12907,11027,12041,7238,2795,2172,3373,4977,6537,1147537,18.19206075
E06000040,76112,10840,11273,11565,13231,4994,2663,1886,3279,10898,5483,1103727.8,18.47830775
E06000041,69107,9219,11275,12122,7942,3740,1847,2651,3461,10842,6008,980995,18.77250895
E06000042,143998,17885,31530,28280,15776,13151,4509,3612,7321,12488,9446,2081540.2,17.05285916
E06000043,134345,32451,31582,15500,14521,3890,2373,1248,2472,17356,12952,986120.1,9.478551861
E06000044,109456,23524,27610,21258,10004,4401,1316,1144,4202,7092,8905,1426962.7,15.26832836
E06000045,112852,22833,29490,21326,9233,5101,2884,1630,2666,7767,9922,1101823.5,11.57827622
E06000046,56591,14437,6986,10894,9469,726,171,270,1062,7280,5296,472261.3,10.72955356
E06000047,196872,36563,31164,34465,37373,13826,4188,1549,3064,20652,14028,2026993.2,12.49749186
E06000048,123686,25953,14506,17632,20030,9593,3496,2540,2594,17890,9452,1422344.9,14.76319127
E06000049,182026,32302,26557,27755,34646,12171,5296,4157,3790,23337,12015,1982062.9,13.51338956
E06000050,158249,26478,26299,22356,30406,14172,5017,3215,2773,17178,10355,1773958.7,13.57109076
E06000051,145002,28125,18436,15720,21225,12815,4685,3694,5923,22808,11571,1948950.6,17.61795106
E06000052,235859,46603,29820,29287,38072,13236,5287,4479,7207,38596,23272,3324881.2,19.10950107
E06000053,1299,565,73,20,0,0,0,14,103,428,96,20760.6,26.78787097
