GeographyCode,WP703EW0001,WP703EW0002,WP703EW0003,WP703EW0004,WP703EW0005,WP703EW0006,WP703EW0007,WP703EW0008,WP703EW0009,WP703EW0010,WP703EW0011,WP703EW0012
K04000001,26414207,2723998,991052,1314404,1898637,125672,207756,14408226,1319418,738849,2581182,105013
E92000001,25087843,2581820,990435,1290591,1838785,119824,200591,13561447,1230966,719919,2453356,100109
W92000004,1326364,142178,617,23813,59852,5848,7165,846779,88452,18930,127826,4904
E12000001,1124017,92332,27999,9285,104415,7980,4905,663990,77598,19637,111122,4754
E12000002,3224701,290981,19829,86579,262268,24356,19739,1923883,193102,68823,323394,11747
E12000003,2417774,224802,10006,54550,202052,15304,15847,1412344,151550,60327,261906,9086
E12000004,2057346,215773,5463,16296,127401,7984,14611,1267828,124906,56969,212981,7134
E12000005,2515748,246010,5946,59501,189625,12291,15826,1552854,149017,49108,227015,8555
E12000006,2650835,304889,12456,63911,107452,11685,19492,1627144,138139,97154,258151,10362
E12000007,4500481,380663,896502,828286,542645,18848,50867,1200320,73983,158613,330419,19335
E12000008,4063350,502581,10172,140608,185276,14842,31673,2426946,194007,122205,416593,18447
E12000009,2533591,323789,2062,31575,117651,6534,27631,1486138,128664,87083,311775,10689
E06000001,34197,2473,21,152,2367,623,149,20748,2757,674,4083,150
E06000002,62839,3337,34,781,5747,860,222,39034,4663,1350,6562,249
E06000003,45844,4034,18,278,2340,355,230,29164,3259,827,5116,223
E06000004,86322,6376,75,572,5004,619,406,57790,6431,1639,6993,417
E06000005,52096,4180,39,511,3644,403,220,32023,3570,1160,6188,158
E06000006,57420,3696,38,460,3308,324,398,39038,3744,1211,5022,181
E06000007,114983,9336,175,2026,6030,453,798,78952,6862,2673,7346,332
E06000008,64522,4930,38,755,3790,1026,325,40687,4844,644,7281,202
E06000009,63189,6173,29,345,5171,568,574,35460,4461,1857,8271,280
E06000010,124406,5676,40,1244,14880,961,1415,70838,7909,8648,12350,445
E06000011,133512,18942,47,937,3348,534,1014,79311,8306,5854,14578,641
E06000012,71067,4574,54,254,4083,496,653,44576,4742,3700,7643,292
E06000013,76797,6841,17,193,1821,199,753,51664,5328,2913,6797,271
E06000014,102927,9297,77,2619,7586,374,975,49888,4592,10445,16755,319
E06000015,123890,7829,80,1521,10435,844,1089,77211,6802,4258,13417,404
E06000016,163224,9392,152,2430,20455,660,909,91197,10433,5426,21535,635
E06000017,18293,3011,14,103,251,16,111,10569,892,629,2606,91
E06000018,174216,8856,3563,3407,32411,945,1246,89833,8204,6007,19056,688
E06000019,87169,15123,29,440,1480,250,597,50253,4584,3134,10860,419
E06000020,83177,6331,58,894,3551,828,560,56725,6488,1668,5781,293
E06000021,114156,6933,40,646,8076,1204,821,75235,8706,1651,10475,369
E06000022,89861,10624,459,3337,5486,197,925,48096,4058,2655,13737,287
E06000023,236098,17841,188,7140,22066,572,2948,120430,11195,15094,37811,813
E06000024,83584,11734,42,649,2345,331,769,52444,4301,2362,8329,278
E06000025,141998,12787,187,2294,5780,226,1802,94799,6900,5980,10887,356
E06000026,121963,7898,36,1203,13124,728,2253,69494,6714,3099,16444,970
E06000027,52544,6853,18,249,2269,307,693,29879,3027,768,8266,215
E06000028,81141,9111,33,951,7427,280,834,44443,3708,3744,10283,327
E06000029,78847,7451,73,1076,4163,161,1144,49206,4249,3729,7313,282
E06000030,108642,8849,83,1875,8765,440,1073,66426,6346,4396,10044,345
E06000031,101167,7158,255,1130,7151,530,755,64120,7188,4913,7572,395
E06000032,89954,6171,317,2571,6022,900,463,54775,5791,1247,11205,492
E06000033,72074,7434,243,3981,4700,381,475,38306,3765,2163,10322,304
E06000034,64202,5186,696,3338,2903,404,563,41923,3820,1013,4103,253
E06000035,98648,9921,178,3273,3844,373,827,61184,6024,1309,11315,400
E06000036,59267,6875,168,1941,1253,157,362,39640,2403,1366,4779,323
E06000037,87006,10689,132,2123,2354,160,557,57154,4228,2274,7069,266
E06000038,89115,6999,322,7555,9620,220,565,44265,3491,3254,12511,313
E06000039,74593,4977,632,3294,3979,337,498,49739,3534,1511,5802,290
E06000040,76112,10898,342,3984,1529,325,463,46937,3175,1772,6321,366
E06000041,69107,10842,235,2684,2111,143,414,42933,2658,1953,4855,279
E06000042,143998,12488,237,2633,7247,1435,766,96772,9095,3625,9222,478
E06000043,134345,17356,237,8288,20046,505,1214,48223,4549,6661,26633,633
E06000044,109456,7092,69,3218,7730,996,1480,57864,5493,8087,16009,1418
E06000045,112852,7767,78,3530,9984,429,1199,61265,5929,4753,16747,1171
E06000046,56591,7280,34,393,2494,121,893,31166,2714,1652,9279,565
E06000047,196872,20652,228,856,11769,1322,874,121748,15574,2168,20988,693
E06000048,123686,17890,426,572,5547,510,543,73242,8085,1950,14312,609
E06000049,182026,23337,163,3003,3930,531,1216,118621,9835,4628,16146,616
E06000050,158249,17178,120,2205,6533,801,1035,101889,9384,4071,14519,514
E06000051,145002,22808,67,970,3211,570,885,86258,7931,4285,17417,600
E06000052,235859,38596,151,1872,5446,651,2559,140840,12325,3517,28637,1265
E06000053,1299,428,0,2,5,1,32,219,21,189,366,36
E06000054,222448,32701,111,2380,5983,515,1739,132783,11233,6576,27437,990
E06000055,74527,7921,61,1038,2987,308,435,47119,4177,2928,7277,276
E06000056,98170,14781,159,1405,2420,305,536,61121,5578,1974,9493,398
E07000004,75310,12152,119,892,2313,599,348,45640,3593,1467,7876,311
E07000005,35476,7188,580,688,663,133,158,21421,1480,353,2665,147
E07000006,33210,5211,528,986,980,121,226,21286,1428,447,1865,132
E07000007,80986,11425,283,1347,3195,297,451,51715,3710,1132,7143,288
E07000008,94190,6417,98,3911,7312,192,944,43876,3488,18938,8771,243
E07000009,31112,5702,13,367,360,90,183,19236,1606,1125,2290,140
E07000010,38156,4683,14,146,615,147,222,24190,2603,1929,3452,155
E07000011,77355,10153,44,745,1361,239,500,50066,4175,2957,6867,248
E07000012,74393,10476,102,942,1733,132,583,48062,2944,4492,4661,266
E07000026,40513,6025,9,159,1380,113,181,23530,2890,676,5403,147
E07000027,31302,2009,14,321,1510,409,534,17293,2246,1619,5209,138
E07000028,56652,5463,38,410,3657,185,328,33230,3483,1434,8262,162
E07000029,34640,2782,16,678,1430,147,306,22465,3341,553,2809,113
E07000030,28783,5771,17,135,1123,78,105,15835,1482,356,3770,111
E07000031,52022,9125,20,449,1141,195,307,28447,2868,1339,7937,194
E07000032,55025,5697,95,254,2247,178,547,36383,3463,754,5253,154
E07000033,29342,2855,27,114,1118,97,241,19456,2279,354,2710,91
E07000034,51786,3755,42,412,4480,335,366,33328,3363,556,5013,136
E07000035,36196,6390,25,199,1039,64,215,22185,1983,353,3605,138
