ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP7606EW0001,Count,Person,"All categories: Distance travelled to work, All categories: Industry"
WP7606EW0002,Count,Person,"All categories: Distance travelled to work, A Agriculture, forestry and fishing"
WP7606EW0003,Count,Person,"All categories: Distance travelled to work, C Manufacturing"
WP7606EW0004,Count,Person,"All categories: Distance travelled to work, B, D, E Energy and water"
WP7606EW0005,Count,Person,"All categories: Distance travelled to work, F Construction"
WP7606EW0006,Count,Person,"All categories: Distance travelled to work, G, I Distribution, hotels and restaurants"
WP7606EW0007,Count,Person,"All categories: Distance travelled to work, H, J Transport and communication"
WP7606EW0008,Count,Person,"All categories: Distance travelled to work, K, L, M, N Financial, Real Estate, Professional and Administrative activities"
WP7606EW0009,Count,Person,"All categories: Distance travelled to work, O, P, Q Public administration, education and health"
WP7606EW0010,Count,Person,"All categories: Distance travelled to work, R, S, T, U Other"
WP7606EW0011,Count,Person,"Less than 5km, All categories: Industry"
WP7606EW0012,Count,Person,"Less than 5km, A Agriculture, forestry and fishing"
WP7606EW0013,Count,Person,"Less than 5km, C Manufacturing"
WP7606EW0014,Count,Person,"Less than 5km, B, D, E Energy and water"
WP7606EW0015,Count,Person,"Less than 5km, F Construction"
WP7606EW0016,Count,Person,"Less than 5km, G, I Distribution, hotels and restaurants"
WP7606EW0017,Count,Person,"Less than 5km, H, J Transport and communication"
WP7606EW0018,Count,Person,"Less than 5km, K, L, M, N Financial, Real Estate, Professional and Administrative activities"
WP7606EW0019,Count,Person,"Less than 5km, O, P, Q Public administration, education and health"
WP7606EW0020,Count,Person,"Less than 5km, R, S, T, U Other"
WP7606EW0021,Count,Person,"5km to less than 10km, All categories: Industry"
WP7606EW0022,Count,Person,"5km to less than 10km, A Agriculture, forestry and fishing"
WP7606EW0023,Count,Person,"5km to less than 10km, C Manufacturing"
WP7606EW0024,Count,Person,"5km to less than 10km, B, D, E Energy and water"
WP7606EW0025,Count,Person,"5km to less than 10km, F Construction"
WP7606EW0026,Count,Person,"5km to less than 10km, G, I Distribution, hotels and restaurants"
WP7606EW0027,Count,Person,"5km to less than 10km, H, J Transport and communication"
WP7606EW0028,Count,Person,"5km to less than 10km, K, L, M, N Financial, Real Estate, Professional and Administrative activities"
WP7606EW0029,Count,Person,"5km to less than 10km, O, P, Q Public administration, education and health"
WP7606EW0030,Count,Person,"5km to less than 10km, R, S, T, U Other"
WP7606EW0031,Count,Person,"10km to less than 30km, All categories: Industry"
WP7606EW0032,Count,Person,"10km to less than 30km, A Agriculture, forestry and fishing"
WP7606EW0033,Count,Person,"10km to less than 30km, C Manufacturing"
WP7606EW0034,Count,Person,"10km to less than 30km, B, D, E Energy and water"
WP7606EW0035,Count,Person,"10km to less than 30km, F Construction"
WP7606EW0036,Count,Person,"10km to less than 30km, G, I Distribution, hotels and restaurants"
WP7606EW0037,Count,Person,"10km to less than 30km, H, J Transport and communication"
WP7606EW0038,Count,Person,"10km to less than 30km, K, L, M, N Financial, Real Estate, Professional and Administrative activities"
