ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP7607EW0001,Count,Person,"Pob categori: Pellter teithio i'r gwaith, Pob categori: Galwedigaeth"
WP7607EW0002,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion"
WP7607EW0003,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 2. Galwedigaethau proffesiynol"
WP7607EW0004,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 3. Galwedigaethau proffesiynol a thechnegol cyswllt"
WP7607EW0005,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 4. Galwedigaethau gweinyddol ac ysgrifenyddol"
WP7607EW0006,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 5. Galwedigaethau crefftau medrus"
WP7607EW0007,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill"
WP7607EW0008,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid"
WP7607EW0009,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 8. Gweithredwyr prosesau, offer a pheiriannau"
WP7607EW0010,Count,Person,"Pob categori: Pellter teithio i'r gwaith, 9. Galwedigaethau elfennol"
WP7607EW0011,Count,Person,"Llai na 5km, Pob categori: Galwedigaeth"
WP7607EW0012,Count,Person,"Llai na 5km, 1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion"
WP7607EW0013,Count,Person,"Llai na 5km, 2. Galwedigaethau proffesiynol"
WP7607EW0014,Count,Person,"Llai na 5km, 3. Galwedigaethau proffesiynol a thechnegol cyswllt"
WP7607EW0015,Count,Person,"Llai na 5km, 4. Galwedigaethau gweinyddol ac ysgrifenyddol"
WP7607EW0016,Count,Person,"Llai na 5km, 5. Galwedigaethau crefftau medrus"
WP7607EW0017,Count,Person,"Llai na 5km, 6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill"
WP7607EW0018,Count,Person,"Llai na 5km, 7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid"
