GeographyCode,WP7701EW0001,WP7701EW0002,WP7701EW0003,WP7701EW0004,WP7701EW0005,WP7701EW0006,WP7701EW0007,WP7701EW0008,WP7701EW0009,WP7701EW0010,WP7701EW0011,WP7701EW0012,WP7701EW0013,WP7701EW0014,WP7701EW0015,WP7701EW0016,WP7701EW0017,WP7701EW0018,WP7701EW0019,WP7701EW0020,WP7701EW0021,WP7701EW0022,WP7701EW0023,WP7701EW0024,WP7701EW0025,WP7701EW0026,WP7701EW0027,WP7701EW0028,WP7701EW0029,WP7701EW0030,WP7701EW0031,WP7701EW0032,WP7701EW0033,WP7701EW0034,WP7701EW0035,WP7701EW0036,WP7701EW0037,WP7701EW0038,WP7701EW0039,WP7701EW0040,WP7701EW0041,WP7701EW0042,WP7701EW0043,WP7701EW0044,WP7701EW0045,WP7701EW0046,WP7701EW0047,WP7701EW0048,WP7701EW0049,WP7701EW0050,WP7701EW0051,WP7701EW0052,WP7701EW0053,WP7701EW0054,WP7701EW0055,WP7701EW0056,WP7701EW0057,WP7701EW0058,WP7701EW0059,WP7701EW0060,WP7701EW0061,WP7701EW0062,WP7701EW0063,WP7701EW0064,WP7701EW0065,WP7701EW0066,WP7701EW0067,WP7701EW0068,WP7701EW0069,WP7701EW0070,WP7701EW0071,WP7701EW0072,WP7701EW0073,WP7701EW0074,WP7701EW0075,WP7701EW0076,WP7701EW0077
K04000001,26414207,4404098,4851145,4595061,4066900,1530713,680137,615979,793140,2723998,2153036,2723998,0,0,0,0,0,0,0,0,2723998,0,4204093,290102,913694,1025966,866373,266661,130473,167667,202486,0,340671,14408226,1743724,2868245,2992242,2835343,1139249,495634,399008,472582,0,1462199,738849,222880,261912,134845,50746,10718,4374,4120,13353,0,35901,2581182,1854000,344426,102547,75027,30779,14872,15900,59905,0,83726,1757859,293392,462868,339461,239411,83306,34784,29284,44814,0,230539
E92000001,25087843,4169895,4627483,4364558,3852054,1441559,644693,589957,765015,2581820,2050809,2581820,0,0,0,0,0,0,0,0,2581820,0,4119811,281302,890767,1005659,851889,260449,128167,165849,199833,0,335896,13561447,1634241,2713283,2812288,2657078,1065268,466203,377894,452648,0,1382544,719919,216994,255321,131731,49467,10336,4177,3966,12883,0,35044,2453356,1763118,330820,96607,69811,28168,13650,14604,56983,0,79595,1651490,274240,437292,318273,223809,77338,32496,27644,42668,0,217730
W92000004,1326364,234203,223662,230503,214846,89154,35444,26022,28125,142178,102227,142178,0,0,0,0,0,0,0,0,142178,0,84282,8800,22927,20307,14484,6212,2306,1818,2653,0,4775,846779,109483,154962,179954,178265,73981,29431,21114,19934,0,79655,18930,5886,6591,3114,1279,382,197,154,470,0,857,127826,90882,13606,5940,5216,2611,1222,1296,2922,0,4131,106369,19152,25576,21188,15602,5968,2288,1640,2146,0,12809
E12000001,1124017,202163,235825,220440,192738,54720,19819,15367,16550,92332,74063,92332,0,0,0,0,0,0,0,0,92332,0,141699,17749,47334,37280,23773,4122,1067,1353,2218,0,6803,663990,83296,138309,153578,150237,45828,17012,12483,11186,0,52061,19637,5354,7609,3578,1518,264,81,85,293,0,855,111122,78610,15504,5776,3847,1250,477,523,1521,0,3614,95237,17154,27069,20228,13363,3256,1182,923,1332,0,10730
E12000002,3224701,585192,674480,608365,476730,166162,72622,59264,64304,290981,226601,290981,0,0,0,0,0,0,0,0,290981,0,368676,37808,113652,100095,57189,15759,7156,7669,9607,0,19741,1923883,246811,418202,431036,374961,136941,59469,45996,44417,0,166050,68823,19661,25590,12482,5066,1060,463,377,1131,0,2993,323394,233051,43903,15591,9153,3282,1612,1860,4845,0,10097,248944,47861,73133,49161,30361,9120,3922,3362,4304,0,27720
E12000003,2417774,434754,504713,447098,355561,122081,53635,44547,61108,224802,169475,224802,0,0,0,0,0,0,0,0,224802,0,266608,25995,86224,68437,41051,13353,5551,4975,7990,0,13032,1412344,170624,302765,318377,277514,97308,42939,34731,42381,0,125705,60327,19891,22965,8936,3322,1025,471,396,1034,0,2287,261906,185605,36650,11322,8544,2943,1514,1643,5591,0,8094,191787,32639,56109,40026,25130,7452,3160,2802,4112,0,20357
E12000004,2057346,377610,397466,344770,302275,124010,49337,40757,53027,215773,152321,215773,0,0,0,0,0,0,0,0,215773,0,149160,15858,51585,38050,17765,6218,2831,2546,5949,0,8358,1267828,160881,255945,260276,252683,104923,41394,34084,38486,0,119156,56969,20445,20412,7999,3365,942,510,335,902,0,2059,212981,153715,27494,8471,6784,3133,1593,1348,4108,0,6335,154635,26711,42030,29974,21678,8794,3009,2444,3582,0,16413
E12000005,2515748,413588,519084,466004,367294,146395,58317,46032,67420,246010,185604,246010,0,0,0,0,0,0,0,0,246010,0,255072,22269,76379,70445,38588,13459,5312,4530,9345,0,14745,1552854,181740,338112,340353,296723,121005,48155,37360,48169,0,141237,49108,16049,18340,7227,2816,890,296,322,1169,0,1999,227015,162323,31068,10297,6638,2869,1334,1128,4763,0,6595,185689,31207,55185,37682,22529,8172,3220,2692,3974,0,21028
E12000006,2650835,471101,439322,363082,403681,194992,83522,62770,82752,304889,244724,304889,0,0,0,0,0,0,0,0,304889,0,183819,17331,42065,31599,28767,16048,8089,7204,10198,0,22518,1627144,195096,286730,284925,336902,162080,68343,49647,59033,0,184388,97154,38757,35449,10038,4440,1646,645,731,1647,0,3801,258151,190018,31234,7713,7578,3929,1774,1713,6516,0,7676,179678,29899,43844,28807,25994,11289,4671,3475,5358,0,26341
E12000007,4500481,475148,720273,934341,829713,244384,126580,166884,203631,380663,418864,380663,0,0,0,0,0,0,0,0,380663,0,2267433,100104,343601,565965,570007,157594,79234,118795,124266,0,207867,1200320,116056,239495,267151,207743,75123,41964,41564,61851,0,149373,158613,20849,49684,53080,18024,1551,425,479,2721,0,11800,330419,223265,56939,14602,8011,2172,970,1685,8386,0,14389,163033,14874,30554,33543,25928,7944,3987,4361,6407,0,35435
